"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-12",3,4,0,0
"3","2020-03-13",2,6,0,0
"4","2020-03-14",5,11,0,0
"5","2020-03-15",2,13,0,0
"6","2020-03-16",12,25,0,0
"7","2020-03-17",5,30,0,0
"8","2020-03-18",17,47,6.71428571428571,19.5714285714286
"9","2020-03-19",10,57,8,27.5714285714286
"10","2020-03-20",4,61,8.14285714285714,35.7142857142857
"11","2020-03-21",1,62,8,43.7142857142857
"12","2020-03-23",3,65,7.71428571428571,51.4285714285714
"13","2020-03-24",7,72,8.42857142857143,59.8571428571429
"14","2020-03-25",2,74,7,66.8571428571429
"15","2020-03-26",5,79,7,73.8571428571429
"16","2020-03-27",4,83,5.14285714285714,79
"17","2020-03-29",2,85,4,83
"18","2020-03-30",6,91,4.28571428571429,87.2857142857143
"19","2020-03-31",3,94,4.57142857142857,91.8571428571429
"20","2020-04-01",1,95,4.28571428571429,96.1428571428571
"21","2020-04-02",6,101,4.14285714285714,100.285714285714
"22","2020-04-03",4,105,4.42857142857143,104.714285714286
"23","2020-04-06",3,108,4.14285714285714,108.857142857143
"24","2020-04-07",2,110,3.85714285714286,112.714285714286
"25","2020-04-08",5,115,4.28571428571429,117
"26","2020-04-09",3,118,3.85714285714286,120.857142857143
"27","2020-04-10",3,121,3.85714285714286,124.714285714286
"28","2020-04-12",2,123,4,128.714285714286
"29","2020-04-13",5,128,3.85714285714286,132.571428571429
"30","2020-04-14",3,131,3.71428571428571,136.285714285714
"31","2020-04-15",5,136,4,140.285714285714
"32","2020-04-16",5,141,4.42857142857143,144.714285714286
"33","2020-04-17",6,147,4.57142857142857,149.285714285714
"34","2020-04-18",6,153,5,154.285714285714
"35","2020-04-19",1,154,4.71428571428571,159
"36","2020-04-20",2,156,4.71428571428571,163.714285714286
"37","2020-04-21",11,167,5.57142857142857,169.285714285714
"38","2020-04-22",17,184,7.57142857142857,176.857142857143
"39","2020-04-23",6,190,7.71428571428571,184.571428571429
"40","2020-04-24",22,212,10.1428571428571,194.714285714286
"41","2020-04-25",4,216,9.85714285714286,204.571428571429
"42","2020-04-26",6,222,9.85714285714286,214.428571428571
"43","2020-04-27",6,228,10.5714285714286,225
"44","2020-04-28",5,233,11,236
"45","2020-04-29",16,249,11.7142857142857,247.714285714286
"46","2020-04-30",14,263,11.2857142857143,259
"47","2020-05-01",9,272,11.7142857142857,270.714285714286
"48","2020-05-02",20,292,11.4285714285714,282.142857142857
"49","2020-05-03",9,301,12.1428571428571,294.285714285714
"50","2020-05-04",19,320,14,308.285714285714
"51","2020-05-05",10,330,14.5714285714286,322.857142857143
"52","2020-05-06",16,346,16.1428571428571,339
"53","2020-05-07",31,377,18.2857142857143,357.285714285714
"54","2020-05-08",16,393,18.5714285714286,375.857142857143
"55","2020-05-09",14,407,19.2857142857143,395.142857142857
"56","2020-05-10",17,424,18.8571428571429,414
"57","2020-05-11",25,449,21.1428571428571,435.142857142857
"58","2020-05-12",22,471,21.5714285714286,456.714285714286
"59","2020-05-13",20,491,23,479.714285714286
"60","2020-05-14",34,525,25.5714285714286,505.285714285714
