"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-15",1,1,0,0
"2","2020-03-17",1,2,0,0
"3","2020-03-23",1,3,0,0
"4","2020-03-24",1,4,0,0
"5","2020-03-25",1,5,0,0
"6","2020-03-26",1,6,0,0
"7","2020-03-27",3,9,0,0
"8","2020-03-31",3,12,1.71428571428571,6
"9","2020-04-04",3,15,2,8
"10","2020-04-05",1,16,2,10
"11","2020-04-06",1,17,2,12
"12","2020-04-07",3,20,2.28571428571429,14.2857142857143
"13","2020-04-08",1,21,2.28571428571429,16.5714285714286
"14","2020-04-09",3,24,2.57142857142857,19.1428571428571
"15","2020-04-10",1,25,2.28571428571429,21.4285714285714
"16","2020-04-11",2,27,2.14285714285714,23.5714285714286
"17","2020-04-15",2,29,2,25.5714285714286
"18","2020-04-17",2,31,2.14285714285714,27.7142857142857
"19","2020-04-18",1,32,2.14285714285714,29.8571428571429
"20","2020-04-19",1,33,1.85714285714286,31.7142857142857
"21","2020-04-21",5,38,2.42857142857143,34.1428571428571
"22","2020-04-22",7,45,3,37.1428571428571
"23","2020-04-23",2,47,3.14285714285714,40.2857142857143
"24","2020-04-24",7,54,3.85714285714286,44.1428571428571
"25","2020-04-25",3,57,4,48.1428571428571
"26","2020-04-26",6,63,4.57142857142857,52.7142857142857
"27","2020-04-27",9,72,5.71428571428571,58.4285714285714
"28","2020-04-28",7,79,6.57142857142857,65
"29","2020-04-29",1,80,6,71
"30","2020-04-30",8,88,6.14285714285714,77.1428571428571
"31","2020-05-01",6,94,6.71428571428571,83.8571428571429
"32","2020-05-02",15,109,7.85714285714286,91.7142857142857
"33","2020-05-03",6,115,8.28571428571429,100
"34","2020-05-04",20,135,10.2857142857143,110.285714285714
"35","2020-05-05",27,162,12.8571428571429,123.142857142857
"36","2020-05-06",9,171,13.1428571428571,136.285714285714
"37","2020-05-07",10,181,14.4285714285714,150.714285714286
"38","2020-05-08",22,203,16.4285714285714,167.142857142857
"39","2020-05-09",20,223,18.4285714285714,185.571428571429
"40","2020-05-10",12,235,18,203.571428571429
"41","2020-05-11",33,268,21.8571428571429,225.428571428571
"42","2020-05-12",22,290,22.1428571428571,247.571428571429
"43","2020-05-13",37,327,23.5714285714286,271.142857142857
"44","2020-05-14",21,348,25.2857142857143,296.428571428571
"45","2020-05-15",28,376,27.8571428571429,324.285714285714
"46","2020-05-16",19,395,27.4285714285714,351.714285714286
"47","2020-05-17",31,426,29,380.714285714286
"48","2020-05-18",52,478,34.7142857142857,415.428571428571
"49","2020-05-19",25,503,33.5714285714286,449
"50","2020-05-20",28,531,34.4285714285714,483.428571428571
"51","2020-05-21",48,579,36,519.428571428571
"52","2020-05-22",52,631,40.4285714285714,559.857142857143
"53","2020-05-23",51,682,43.7142857142857,603.571428571429
"54","2020-05-24",40,722,46.7142857142857,650.285714285714
"55","2020-05-25",57,779,50.4285714285714,700.714285714286
"56","2020-05-26",53,832,50.5714285714286,751.285714285714
"57","2020-05-27",63,895,56,807.285714285714
"58","2020-05-28",65,960,61.2857142857143,868.571428571429
"59","2020-05-29",64,1024,63.5714285714286,932.142857142857
"60","2020-05-30",50,1074,63.2857142857143,995.428571428571
"61","2020-05-31",61,1135,64.7142857142857,1060.14285714286
"62","2020-06-01",83,1218,70.8571428571429,1131
"63","2020-06-02",77,1295,73.7142857142857,1204.71428571429
"64","2020-06-03",68,1363,75.8571428571429,1280.57142857143
"65","2020-06-04",63,1426,75.8571428571429,1356.42857142857
"66","2020-06-05",59,1485,75,1431.42857142857
"67","2020-06-06",73,1558,76.2857142857143,1507.71428571429
"68","2020-06-07",40,1598,74.8571428571429,1582.57142857143
"69","2020-06-08",92,1690,79.2857142857143,1661.85714285714
"70","2020-06-09",92,1782,80.5714285714286,1742.42857142857
"71","2020-06-10",88,1870,82.1428571428571,1824.57142857143
"72","2020-06-11",91,1961,85.4285714285714,1910
"73","2020-06-12",89,2050,89.1428571428571,1999.14285714286
"74","2020-06-13",86,2136,93,2092.14285714286
"75","2020-06-14",59,2195,91,2183.14285714286
"76","2020-06-15",122,2317,102.714285714286,2285.85714285714
"77","2020-06-16",107,2424,104.857142857143,2390.71428571429
"78","2020-06-17",106,2530,106.857142857143,2497.57142857143
"79","2020-06-18",103,2633,109,2606.57142857143
"80","2020-06-19",143,2776,116.428571428571,2723
"81","2020-06-20",81,2857,115.285714285714,2838.28571428571
"82","2020-06-21",74,2931,113.571428571429,2951.85714285714
"83","2020-06-22",144,3075,125.714285714286,3077.57142857143
"84","2020-06-23",127,3202,126.428571428571,3204
"85","2020-06-24",83,3285,123,3327
"86","2020-06-25",76,3361,118.714285714286,3445.71428571429
"87","2020-06-26",64,3425,113.142857142857,3558.85714285714
"88","2020-06-27",39,3464,98.2857142857143,3657.14285714286
"89","2020-06-28",47,3511,93.4285714285714,3750.57142857143
"90","2020-06-29",69,3580,92.7142857142857,3843.28571428571
"91","2020-06-30",81,3661,83.7142857142857,3927
"92","2020-07-01",80,3741,77,4004
"93","2020-07-02",114,3855,81.4285714285714,4085.42857142857
"94","2020-07-03",55,3910,78.4285714285714,4163.85714285714
"95","2020-07-04",38,3948,74.7142857142857,4238.57142857143
"96","2020-07-05",59,4007,77.5714285714286,4316.14285714286
"97","2020-07-06",111,4118,86.7142857142857,4402.85714285714
"98","2020-07-07",94,4212,90.2857142857143,4493.14285714286
"99","2020-07-08",72,4284,89,4582.14285714286
"100","2020-07-09",39,4323,83.1428571428571,4665.28571428571
"101","2020-07-10",14,4337,68.8571428571429,4734.14285714286
