"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.11096833024562,0.60938406685904,1.09076814031849,1.21806611067238,1.67445988269635,2.05262875682353,2.48400722140027,3.20295716301278,3.46234666468791
"2",3,9,1.90769160168607,0.509852026652522,1.04295275057067,1.15332732345129,1.54367377110662,1.86246767371808,2.22249437984147,2.81637540318625,3.02919568537343
"3",4,10,1.55243035012705,0.414904463357495,0.848728118477525,0.938548106504277,1.25620200395229,1.51562828093126,1.80860875269527,2.29189385191681,2.46508152276359
"4",5,11,1.39208164730974,0.372049469903496,0.761063990530461,0.84160657776047,1.12645037819093,1.35908082050531,1.62179968433676,2.05516683474677,2.21046615500703
"5",6,12,1.49231551677547,0.373078879193867,0.852987258900958,0.936050872328744,1.22668832785438,1.46134339842059,1.72422984153473,2.15426282087701,2.30751328189622
"6",7,13,1.34421540535537,0.336053851338843,0.768335248878227,0.843155477937678,1.10494954273103,1.31631701646836,1.55311412989426,1.94046985269195,2.07851145868218
"7",8,14,1.26022885848525,0.315057214621313,0.720329680622731,0.790475143532576,1.03591232132293,1.23407356027889,1.45607559563455,1.81922934199412,1.94864611169299
"8",9,15,1.06026168557034,0.28336685483769,0.579654929713454,0.640999190275841,0.857946930771027,1.03512701597643,1.23522357348465,1.56529227761023,1.68357407479166
"9",10,16,1.0086443725345,0.279747615683179,0.537060648230932,0.596619220847453,0.808600364862596,0.982902919236515,1.18067896731178,1.50851062632543,1.62636806140361
"10",11,17,1.12767093800089,0.301382735358667,0.616508195290666,0.681752597489494,0.912493428126772,1.10093825792478,1.31375654209645,1.66481033405331,1.79061224408296
"11",12,18,1.19338703318853,0.308131207007937,0.667929663298293,0.735630060833824,0.973708653025046,1.16697465390646,1.38431871602141,1.74126989936558,1.868813950754
"12",13,19,0.995345661122841,0.276059216768385,0.529979644493775,0.588752952956859,0.797939181206115,0.969943602132753,1.16511202490508,1.48862130950853,1.60492482522772
"13",14,20,1.02699141513094,0.284836169747379,0.546829675708087,0.607471607037088,0.823308646335834,1.00078172986438,1.20215528532421,1.53595013768545,1.65595137630883
"14",15,21,1.20872593688299,0.312091694911785,0.676514731256197,0.74508529902904,0.986223975246462,1.18197407264686,1.40211171265785,1.76365087934076,1.89283428650114
"15",16,22,1.53684956751539,0.343650010415557,0.938747642068568,1.0185202788243,1.29327024237073,1.51131269288959,1.75262377005119,2.14230986912684,2.27998192396519
"16",17,23,1.25652562632788,0.288266748691178,0.756510508882715,0.822822724756682,1.0519951743242,1.234551398019,1.43713157565473,1.76520491623359,1.88133367304111
"17",18,24,1.4988866612388,0.305958958524914,0.960364966266076,1.03354722441054,1.28277926749562,1.47812097771565,1.69237934530286,2.03507492108828,2.15535485759044
"18",19,25,1.37334283095304,0.274668566190608,0.888755069199459,0.954864716459685,1.17948405895784,1.35507563358258,1.54730704923103,1.85414484259368,1.96168826092057
"19",20,26,1.50363494333416,0.274524925572373,1.01449618207443,1.08231539104471,1.31051349892786,1.48696129273883,1.67859442461656,1.98183958531236,2.08748824406342
"20",21,27,1.67390657317256,0.271543503140177,1.18455591703901,1.25366388696697,1.48364477972031,1.65924630074282,1.84819680667165,2.14416354239724,2.24654235337687
"21",22,28,1.47029114965683,0.232473442825154,1.05039755331914,1.10991320236978,1.30753926631707,1.45805704117984,1.61971422491113,1.87240611128843,1.95968799295565
"22",23,29,1.14304817217997,0.193210405215511,0.796174933290667,0.844864102911116,1.00748804700804,1.13218062345447,1.26676934168935,1.47830788226504,1.55165824290806
"23",24,30,1.35858006993684,0.209633455982987,0.979145015405024,1.0331073302212,1.21193176290779,1.34781303417707,1.49349757987197,1.72078463687948,1.79918471655671
"24",25,31,1.21819073174189,0.190249429273965,0.874194701263628,0.923036348611309,1.08505176519137,1.20830118449426,1.34055508382533,1.54708348448067,1.61837075370845
"25",26,32,1.50347828000269,0.206518624425774,1.12620840245419,1.18065967508702,1.35951588409993,1.49403308727591,1.63714882496852,1.8585184101512,1.93441151485453
"26",27,33,1.31268929928743,0.180311742439531,0.983294363698131,1.03083585722578,1.18699550037137,1.30444268635856,1.42939726663249,1.62267540674402,1.68893779826563
"27",28,34,1.46638718768249,0.183298398460311,1.12929681714492,1.17846439533566,1.33894827897093,1.45875686650566,1.58551115744148,1.78033977782802,1.84683142907421
"28",29,35,1.70241251814485,0.185748434010456,1.35791089702225,1.40883158161519,1.5737198228359,1.69566169950829,1.82374803764412,2.01902250578534,2.08527268607565
"29",30,36,1.53505511728763,0.160040559163272,1.23747108031533,1.28163317244451,1.42429403086863,1.52949692009023,1.63975862134258,1.8074376248916,1.86422157317516
"30",31,37,1.36016505761274,0.14029031388406,1.09915181976492,1.13792220890065,1.26309711122235,1.35534482976827,1.4519796661759,1.59885102983074,1.64856755468133
