"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",1,1,0,0
"2","2020-03-24",1,2,0,0
"3","2020-03-31",1,3,0,0
"4","2020-04-01",1,4,0,0
"5","2020-04-14",1,5,0,0
"6","2020-04-25",1,6,0,0
"7","2020-04-26",1,7,0,0
"8","2020-05-04",1,8,1.14285714285714,5.14285714285714
"9","2020-05-05",1,9,1.14285714285714,6.28571428571429
"10","2020-05-07",1,10,1.14285714285714,7.42857142857143
"11","2020-05-09",1,11,1.14285714285714,8.57142857142857
"12","2020-05-10",1,12,1.14285714285714,9.71428571428571
"13","2020-05-16",2,14,1.28571428571429,11
"14","2020-05-17",2,16,1.42857142857143,12.4285714285714
"15","2020-05-20",2,18,1.57142857142857,14
"16","2020-05-21",1,19,1.57142857142857,15.5714285714286
"17","2020-05-22",1,20,1.57142857142857,17.1428571428571
"18","2020-05-23",1,21,1.57142857142857,18.7142857142857
"19","2020-05-25",3,24,1.85714285714286,20.5714285714286
"20","2020-05-26",3,27,2.14285714285714,22.7142857142857
"21","2020-05-27",1,28,2,24.7142857142857
"22","2020-05-28",4,32,2.28571428571429,27
"23","2020-05-29",2,34,2.28571428571429,29.2857142857143
"24","2020-05-31",2,36,2.42857142857143,31.7142857142857
"25","2020-06-01",1,37,2.42857142857143,34.1428571428571
"26","2020-06-02",3,40,2.71428571428571,36.8571428571429
"27","2020-06-03",3,43,2.71428571428571,39.5714285714286
"28","2020-06-05",6,49,3.14285714285714,42.7142857142857
"29","2020-06-06",3,52,3.42857142857143,46.1428571428571
"30","2020-06-07",4,56,3.42857142857143,49.5714285714286
"31","2020-06-08",4,60,3.71428571428571,53.2857142857143
"32","2020-06-09",5,65,4.14285714285714,57.4285714285714
"33","2020-06-10",4,69,4.57142857142857,62
"34","2020-06-11",6,75,5,67
"35","2020-06-12",7,82,5.57142857142857,72.5714285714286
"36","2020-06-13",5,87,5.42857142857143,78
"37","2020-06-14",8,95,6.14285714285714,84.1428571428571
"38","2020-06-15",4,99,6.14285714285714,90.2857142857143
"39","2020-06-16",7,106,6.57142857142857,96.8571428571429
"40","2020-06-17",9,115,7.14285714285714,104
"41","2020-06-18",1,116,6.71428571428571,110.714285714286
"42","2020-06-19",2,118,6.14285714285714,116.857142857143
"43","2020-06-21",3,121,5.57142857142857,122.428571428571
"44","2020-06-22",5,126,5.57142857142857,128
"45","2020-06-23",4,130,5,133
"46","2020-06-24",4,134,5,138
"47","2020-06-25",2,136,4.28571428571429,142.285714285714
"48","2020-06-26",5,141,3.71428571428571,146
"49","2020-06-27",5,146,4.28571428571429,150.285714285714
"50","2020-06-28",6,152,4.85714285714286,155.142857142857
"51","2020-06-29",6,158,5.28571428571429,160.428571428571
"52","2020-06-30",6,164,5.42857142857143,165.857142857143
"53","2020-07-01",6,170,5.71428571428571,171.571428571429
"54","2020-07-02",3,173,5.57142857142857,177.142857142857
"55","2020-07-03",5,178,6,183.142857142857
"56","2020-07-04",5,183,6,189.142857142857
"57","2020-07-05",3,186,5.71428571428571,194.857142857143
"58","2020-07-06",8,194,6,200.857142857143
"59","2020-07-07",10,204,6.57142857142857,207.428571428571
"60","2020-07-08",3,207,6.14285714285714,213.571428571429
"61","2020-07-09",1,208,5.42857142857143,219
"62","2020-07-10",1,209,5.14285714285714,224.142857142857
"63","2020-07-11",1,210,4.57142857142857,228.714285714286
"64","9999-99-99",3736,3946,537.571428571429,766.285714285714
