"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-26",1,1,0,0
"2","2020-04-13",1,2,0,0
"3","2020-04-16",2,4,0,0
"4","2020-04-19",2,6,0,0
"5","2020-04-20",3,9,0,0
"6","2020-04-23",3,12,0,0
"7","2020-04-25",2,14,0,0
"8","2020-04-26",1,15,2.14285714285714,9
"9","2020-04-27",1,16,2.14285714285714,11.1428571428571
"10","2020-04-28",3,19,2.42857142857143,13.5714285714286
"11","2020-04-29",1,20,2.28571428571429,15.8571428571429
"12","2020-04-30",3,23,2.42857142857143,18.2857142857143
"13","2020-05-01",2,25,2.28571428571429,20.5714285714286
"14","2020-05-04",2,27,2.14285714285714,22.7142857142857
"15","2020-05-05",4,31,2.42857142857143,25.1428571428571
"16","2020-05-08",1,32,2.42857142857143,27.5714285714286
"17","2020-05-09",2,34,2.57142857142857,30.1428571428571
"18","2020-05-10",2,36,2.42857142857143,32.5714285714286
"19","2020-05-11",2,38,2.57142857142857,35.1428571428571
"20","2020-05-14",5,43,2.85714285714286,38
"21","2020-05-15",2,45,2.85714285714286,40.8571428571429
"22","2020-05-16",4,49,3.14285714285714,44
"23","2020-05-17",2,51,2.85714285714286,46.8571428571429
"24","2020-05-19",2,53,3,49.8571428571429
"25","2020-05-20",3,56,3.14285714285714,53
"26","2020-05-21",4,60,3.42857142857143,56.4285714285714
"27","2020-05-22",6,66,4,60.4285714285714
"28","2020-05-23",3,69,3.71428571428571,64.1428571428571
"29","2020-05-24",1,70,3.57142857142857,67.7142857142857
"30","2020-05-25",7,77,4,71.7142857142857
"31","2020-05-26",4,81,4.28571428571429,76
"32","2020-05-27",1,82,4.14285714285714,80.1428571428571
"33","2020-05-28",3,85,4.14285714285714,84.2857142857143
"34","2020-05-30",1,86,3.71428571428571,88
"35","2020-05-31",3,89,3.28571428571429,91.2857142857143
"36","2020-06-01",2,91,3.14285714285714,94.4285714285714
"37","2020-06-02",1,92,3.14285714285714,97.5714285714286
"38","2020-06-03",4,96,2.71428571428571,100.285714285714
"39","2020-06-04",1,97,2.28571428571429,102.571428571429
"40","2020-06-08",3,100,2.57142857142857,105.142857142857
"41","2020-06-10",2,102,2.42857142857143,107.571428571429
"42","2020-06-11",2,104,2.57142857142857,110.142857142857
"43","2020-06-12",1,105,2.28571428571429,112.428571428571
"44","2020-06-13",2,107,2.28571428571429,114.714285714286
"45","2020-06-14",3,110,2.57142857142857,117.285714285714
"46","2020-06-15",3,113,2.42857142857143,119.714285714286
"47","2020-06-16",1,114,2.42857142857143,122.142857142857
"48","2020-06-17",3,117,2.42857142857143,124.571428571429
"49","2020-06-18",2,119,2.42857142857143,127
"50","2020-06-20",1,120,2.28571428571429,129.285714285714
"51","2020-06-22",1,121,2.28571428571429,131.571428571429
"52","2020-06-24",1,122,2.14285714285714,133.714285714286
"53","2020-06-25",1,123,1.85714285714286,135.571428571429
"54","2020-06-27",1,124,1.57142857142857,137.142857142857
"55","2020-07-01",1,125,1.57142857142857,138.714285714286
"56","2020-07-05",1,126,1.28571428571429,140
"57","2020-07-07",1,127,1.14285714285714,141.142857142857
"58","2020-07-08",1,128,1.14285714285714,142.285714285714
"59","2020-07-09",1,129,1.14285714285714,143.428571428571
"60","2020-07-11",1,130,1.14285714285714,144.571428571429
"61","9999-99-99",2189,2319,313.714285714286,458.285714285714
