"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",1,1,0,0
"2","2020-03-15",1,2,0,0
"3","2020-03-16",2,4,0,0
"4","2020-03-18",1,5,0,0
"5","2020-03-20",2,7,0,0
"6","2020-03-21",10,17,0,0
"7","2020-03-23",2,19,0,0
"8","2020-03-24",1,20,2.85714285714286,10.7142857142857
"9","2020-03-25",3,23,3.14285714285714,13.8571428571429
"10","2020-03-26",4,27,3.57142857142857,17.4285714285714
"11","2020-03-28",2,29,3.57142857142857,21
"12","2020-03-30",2,31,3.71428571428571,24.7142857142857
"13","2020-04-03",1,32,3.57142857142857,28.2857142857143
"14","2020-04-04",1,33,2.28571428571429,30.5714285714286
"15","2020-04-06",2,35,2.28571428571429,32.8571428571429
"16","2020-04-07",1,36,2.28571428571429,35.1428571428571
"17","2020-04-09",1,37,2,37.1428571428571
"18","2020-04-11",2,39,1.71428571428571,38.8571428571429
"19","2020-04-13",2,41,1.71428571428571,40.5714285714286
"20","2020-04-14",1,42,1.57142857142857,42.1428571428571
"21","2020-04-15",5,47,2.14285714285714,44.2857142857143
"22","2020-04-16",1,48,2.14285714285714,46.4285714285714
"23","2020-04-17",10,58,3.28571428571429,49.7142857142857
"24","2020-04-18",2,60,3.42857142857143,53.1428571428571
"25","2020-04-19",2,62,3.57142857142857,56.7142857142857
"26","2020-04-20",1,63,3.42857142857143,60.1428571428571
"27","2020-04-21",6,69,4,64.1428571428571
"28","2020-04-22",5,74,4.57142857142857,68.7142857142857
"29","2020-04-23",1,75,4,72.7142857142857
"30","2020-04-24",8,83,5,77.7142857142857
"31","2020-04-25",4,87,4.14285714285714,81.8571428571429
"32","2020-04-27",7,94,4.85714285714286,86.7142857142857
"33","2020-04-28",7,101,5.57142857142857,92.2857142857143
"34","2020-04-29",4,105,6,98.2857142857143
"35","2020-04-30",5,110,5.85714285714286,104.142857142857
"36","2020-05-01",7,117,6.14285714285714,110.285714285714
"37","2020-05-02",4,121,6.57142857142857,116.857142857143
"38","2020-05-03",1,122,5.57142857142857,122.428571428571
"39","2020-05-04",10,132,6.42857142857143,128.857142857143
"40","2020-05-05",13,145,7.28571428571429,136.142857142857
"41","2020-05-06",18,163,8.85714285714286,145
"42","2020-05-07",13,176,10.1428571428571,155.142857142857
"43","2020-05-08",26,202,13.1428571428571,168.285714285714
"44","2020-05-09",14,216,14.1428571428571,182.428571428571
"45","2020-05-10",4,220,14.1428571428571,196.571428571429
"46","2020-05-11",19,239,16.7142857142857,213.285714285714
"47","2020-05-12",24,263,18.7142857142857,232
"48","2020-05-13",18,281,19.4285714285714,251.428571428571
"49","2020-05-14",26,307,20.5714285714286,272
"50","2020-05-15",21,328,21.7142857142857,293.714285714286
"51","2020-05-16",15,343,20.1428571428571,313.857142857143
"52","2020-05-17",7,350,19.1428571428571,333
"53","2020-05-18",28,378,22.5714285714286,355.571428571429
"54","2020-05-19",32,410,24.4285714285714,380
"55","2020-05-20",28,438,25,405
"56","2020-05-21",29,467,26.5714285714286,431.571428571429
"57","2020-05-22",27,494,26.7142857142857,458.285714285714
"58","2020-05-23",26,520,27.4285714285714,485.714285714286
"59","2020-05-24",14,534,27.2857142857143,513
"60","2020-05-25",69,603,36.1428571428571,549.142857142857
"61","2020-05-26",51,654,39.4285714285714,588.571428571429
"62","2020-05-27",52,706,42.2857142857143,630.857142857143
"63","2020-05-28",104,810,53.1428571428571,684
"64","2020-05-29",80,890,60.4285714285714,744.428571428571
"65","2020-05-30",66,956,66,810.428571428571
"66","2020-05-31",34,990,67.1428571428571,877.571428571429
"67","2020-06-01",91,1081,78.1428571428571,955.714285714286
"68","2020-06-02",120,1201,85.4285714285714,1041.14285714286
"69","2020-06-03",105,1306,93.1428571428571,1134.28571428571
"70","2020-06-04",111,1417,101.571428571429,1235.85714285714
"71","2020-06-05",88,1505,99.2857142857143,1335.14285714286
"72","2020-06-06",80,1585,99.2857142857143,1434.42857142857
"73","2020-06-07",34,1619,94.7142857142857,1529.14285714286
"74","2020-06-08",100,1719,104.142857142857,1633.28571428571
"75","2020-06-09",138,1857,110.857142857143,1744.14285714286
"76","2020-06-10",96,1953,107.428571428571,1851.57142857143
"77","2020-06-11",103,2056,107.142857142857,1958.71428571429
"78","2020-06-12",105,2161,106.285714285714,2065
"79","2020-06-13",79,2240,105,2170
"80","2020-06-14",31,2271,98,2268
"81","2020-06-15",172,2443,117.714285714286,2385.71428571429
"82","2020-06-16",157,2600,125.857142857143,2511.57142857143
"83","2020-06-17",185,2785,132.571428571429,2644.14285714286
"84","2020-06-18",174,2959,143.714285714286,2787.85714285714
"85","2020-06-19",165,3124,152.571428571429,2940.42857142857
"86","2020-06-20",110,3234,153.285714285714,3093.71428571429
"87","2020-06-21",47,3281,148.714285714286,3242.42857142857
"88","2020-06-22",205,3486,173.571428571429,3416
"89","2020-06-23",243,3729,183.714285714286,3599.71428571429
"90","2020-06-24",220,3949,192.714285714286,3792.42857142857
"91","2020-06-25",170,4119,190.571428571429,3983
"92","2020-06-26",188,4307,192.571428571429,4175.57142857143
"93","2020-06-27",135,4442,188.285714285714,4363.85714285714
"94","2020-06-28",59,4501,181,4544.85714285714
"95","2020-06-29",171,4672,198.714285714286,4743.57142857143
"96","2020-06-30",217,4889,200.428571428571,4944
"97","2020-07-01",188,5077,192.571428571429,5136.57142857143
"98","2020-07-02",169,5246,185.285714285714,5321.85714285714
"99","2020-07-03",149,5395,182.285714285714,5504.14285714286
"100","2020-07-04",118,5513,172.285714285714,5676.42857142857
"101","2020-07-05",51,5564,160.285714285714,5836.71428571429
"102","2020-07-06",164,5728,175.285714285714,6012
"103","2020-07-07",173,5901,175.571428571429,6187.57142857143
"104","2020-07-08",180,6081,170.285714285714,6357.85714285714
"105","2020-07-09",128,6209,161.714285714286,6519.57142857143
"106","2020-07-10",70,6279,147.571428571429,6667.14285714286
"107","2020-07-11",3,6282,126.714285714286,6793.85714285714
