"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-21",1,1,0,0
"2","2020-04-22",1,2,0,0
"3","2020-04-23",1,3,0,0
"4","2020-05-03",1,4,0,0
"5","2020-05-04",1,5,0,0
"6","2020-05-05",1,6,0,0
"7","2020-05-08",2,8,0,0
"8","2020-05-09",1,9,1.28571428571429,5.42857142857143
"9","2020-05-14",2,11,1.42857142857143,6.85714285714286
"10","2020-05-16",3,14,1.71428571428571,8.57142857142857
"11","2020-05-18",1,15,1.71428571428571,10.2857142857143
"12","2020-05-23",1,16,1.71428571428571,12
"13","2020-05-24",1,17,1.71428571428571,13.7142857142857
"14","2020-05-25",5,22,2.28571428571429,16
"15","2020-05-26",3,25,2.42857142857143,18.4285714285714
"16","2020-05-27",2,27,2.57142857142857,21
"17","2020-05-28",3,30,2.71428571428571,23.7142857142857
"18","2020-05-30",1,31,2.42857142857143,26.1428571428571
"19","2020-05-31",4,35,2.85714285714286,29
"20","2020-06-01",2,37,3,32
"21","2020-06-02",3,40,3.28571428571429,35.2857142857143
"22","2020-06-03",4,44,3.14285714285714,38.4285714285714
"23","2020-06-04",3,47,3.14285714285714,41.5714285714286
"24","2020-06-05",4,51,3.42857142857143,45
"25","2020-06-06",7,58,4,49
"26","2020-06-07",4,62,4.42857142857143,53.4285714285714
"27","2020-06-08",6,68,4.71428571428571,58.1428571428571
"28","2020-06-09",3,71,4.85714285714286,63
"29","2020-06-10",9,80,5.71428571428571,68.7142857142857
"30","2020-06-11",8,88,6.28571428571429,75
"31","2020-06-12",4,92,6.42857142857143,81.4285714285714
"32","2020-06-13",7,99,6.85714285714286,88.2857142857143
"33","2020-06-14",2,101,6.14285714285714,94.4285714285714
"34","2020-06-15",6,107,6.42857142857143,100.857142857143
"35","2020-06-16",5,112,6.28571428571429,107.142857142857
"36","2020-06-17",3,115,6.28571428571429,113.428571428571
"37","2020-06-18",14,129,7,120.428571428571
"38","2020-06-19",7,136,6.85714285714286,127.285714285714
"39","2020-06-20",8,144,7.42857142857143,134.714285714286
"40","2020-06-21",5,149,7.14285714285714,141.857142857143
"41","2020-06-22",7,156,7.85714285714286,149.714285714286
"42","2020-06-23",10,166,8.42857142857143,158.142857142857
"43","2020-06-24",5,171,8.42857142857143,166.571428571429
"44","2020-06-25",9,180,9.28571428571429,175.857142857143
"45","2020-06-26",7,187,8.28571428571429,184.142857142857
"46","2020-06-27",11,198,8.85714285714286,193
"47","2020-06-28",8,206,8.85714285714286,201.857142857143
"48","2020-06-29",12,218,9.85714285714286,211.714285714286
"49","2020-06-30",8,226,10,221.714285714286
"50","2020-07-01",9,235,9.85714285714286,231.571428571429
"51","2020-07-02",12,247,10.8571428571429,242.428571428571
"52","2020-07-03",6,253,10.4285714285714,252.857142857143
"53","2020-07-04",10,263,10.8571428571429,263.714285714286
"54","2020-07-05",14,277,11.2857142857143,275
"55","2020-07-06",9,286,11.4285714285714,286.428571428571
"56","2020-07-07",7,293,10.7142857142857,297.142857142857
"57","2020-07-08",10,303,11,308.142857142857
"58","2020-07-09",10,313,11.1428571428571,319.285714285714
"59","2020-07-10",3,316,9.85714285714286,329.142857142857
"60","2020-07-11",1,317,9.14285714285714,338.285714285714
"61","9999-99-99",5965,6282,859.857142857143,1198.14285714286
