"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.69374250242504,0.3787323371803,1.03458192267533,1.12249833834778,1.42529680388052,1.66559863535629,1.93154452644005,2.36101265563092,2.51273928887122
"2",3,9,1.61275790531957,0.343841140722306,1.01070679295752,1.09181793503831,1.36949283519136,1.58838909597121,1.82948674221217,2.21684154446362,2.35321396633249
"3",4,10,1.54534238924732,0.315441694295781,0.990130027771725,1.06558045946615,1.3225370732636,1.52393310472978,1.74483208678476,2.09814899430266,2.22215682575481
"4",5,11,1.42723121202122,0.285446242404244,0.923628788103325,0.992332501305098,1.22576564648312,1.40824723099648,1.60802158461079,1.92689933737919,2.03866263480514
"5",6,12,1.30461346349738,0.260922692699477,0.844277046412755,0.90707821589416,1.12045641380682,1.28726045367876,1.46987158857513,1.76135358950636,1.86351496414464
"6",7,13,0.790063656944532,0.197515914236133,0.451589644092523,0.49556529230235,0.649434958855032,0.773666357033285,0.912844045848502,1.14051267520112,1.22164673720089
"7",8,14,0.838094982874979,0.216395194080986,0.469075399812258,0.516620212966103,0.683818672557443,0.819546027719211,0.972182987021103,1.22286360242274,1.31243557412297
"8",9,15,0.984736902636649,0.246184225659162,0.562862224426657,0.617673559220942,0.809457015552562,0.964299275637513,1.13777062189594,1.42153725123727,1.52266290637873
"9",10,16,0.881748924862415,0.235657312713674,0.482060342292853,0.533076272165173,0.713497237608302,0.860846096633475,1.02725305715345,1.30174918292537,1.40011626429303
"10",11,17,0.733231123205585,0.22107750184398,0.366026334888278,0.411209831260616,0.574573886354013,0.711135696828077,0.867854524729515,1.1306570056607,1.2258528560763
"11",12,18,0.820978765511615,0.2475344114592,0.409829641774583,0.460420362625448,0.643334611673145,0.79623912299405,0.971712893529668,1.26596561895276,1.37255380006317
"12",13,19,0.883196599364313,0.266293794200842,0.440888560264333,0.495313296313419,0.692089692391738,0.856582064300929,1.04535410558279,1.36190675878741,1.47657271976446
"13",14,20,0.922994743298533,0.278293386090148,0.46075565032444,0.517632845407474,0.723276276684545,0.895180917954868,1.09245930637971,1.42327628993169,1.54310926856098
"14",15,21,1.29922210351364,0.335457704662193,0.727164748749598,0.80086913001794,1.06006163064517,1.27046735252732,1.50708648924838,1.8956937510828,2.03454899764331
"15",16,22,1.10589490615881,0.295562846044627,0.604603036046822,0.668587527989988,0.894872608721948,1.07967845087217,1.28838708073199,1.63266180417309,1.7560344005561
"16",17,23,1.7768365887122,0.370496040170495,1.12636197842757,1.21439037178732,1.51493512485852,1.75115273857921,2.0107684768152,2.4269123565628,2.57318882041494
"17",18,24,1.48819545443749,0.303776625075099,0.953514908336682,1.02617517460795,1.27362950401858,1.4675778876617,1.68030800059429,2.02055920926019,2.13998121720214
"18",19,25,1.30291627354946,0.265956670647057,0.834803041118997,0.898417160543288,1.11506361769246,1.28486557786089,1.47111095657604,1.76900115342067,1.87355521391291
"19",20,26,1.17121160506934,0.244214501567879,0.742447689913541,0.800472089305991,0.998577815446406,1.15428195406501,1.32540909508197,1.59971262104223,1.69613155630082
"20",21,27,1.39456680456474,0.263548353681738,0.926679513883593,0.991170367202893,1.20894012709151,1.37800041478174,1.56214938867293,1.85448308685963,1.9565564300859
"21",22,28,1.26295072888518,0.238675253339853,0.839221587428737,0.89762593918832,1.0948430793642,1.24794783767698,1.4147172459535,1.67946114778317,1.77190103865494
"22",23,29,1.18941956170361,0.224779168913085,0.790360660841305,0.845364610625462,1.03109942914487,1.17529016466776,1.33234997069275,1.58168002647086,1.66873790764544
"23",24,30,1.06826319506913,0.209503649127326,0.697824985998041,0.748546262298576,0.920503980112084,1.05459916803256,1.20114055303506,1.43459859083127,1.51631462496199
"24",25,31,1.15626149158323,0.218512882663559,0.768327364049858,0.821797940008191,1.00235493201914,1.14252598712554,1.29520735493667,1.53758670657404,1.62221762974199
"25",26,32,1.32407686508207,0.230492196978656,0.911433589243112,0.969091414890032,1.16219841198686,1.31072663476519,1.4714123686337,1.7246082598766,1.81255899670059
"26",27,33,1.43377124937928,0.229587143141917,1.01955151825078,1.07815819708961,1.27297463176812,1.42153558920007,1.58123757307266,1.83112674806491,1.91750246826801
"27",28,34,1.2062753058541,0.198310438693874,0.849329137158587,0.899640629773543,1.06726496899307,1.19542553804879,1.33346561939188,1.54992466604726,1.62485852568971
"28",29,35,1.15501795279638,0.189883781759232,0.813239230290504,0.861412874333654,1.02191447805927,1.14462921604783,1.276803663608,1.48406487812415,1.55581462939511
"29",30,36,1.30998791654975,0.199771284426824,0.948044750674512,0.999601178843265,1.17029018079125,1.29984708527406,1.43863696508138,1.65497008085913,1.72954349768876
"30",31,37,1.09695260459808,0.175652995385973,0.780040535720963,0.824879451989462,0.973930003485468,1.08759132098441,1.20977643750448,1.40096215244142,1.46704666298789
"31",32,38,1.0019617249716,0.1669936208286,0.701761674089266,0.743989046623752,0.88485072693332,0.992699728309137,1.10898264116003,1.29153242617624,1.35477825912093
"32",33,39,1.11133625966294,0.177956223516477,0.790268720562666,0.835695581563129,0.986700539941401,1.10185222737818,1.22563948109425,1.4193320950216,1.48628313052169
"33",34,40,1.2560365322611,0.187238871223928,0.91616166550465,0.964720217162663,1.12519471669751,1.24674490968684,1.37675464423984,1.57905103057334,1.64869996474895
"34",35,41,1.53242659186915,0.1995049491535,1.1665541231766,1.21968543230743,1.39356514106907,1.52377756422328,1.66186329293586,1.87467292949918,1.94744017298126
"35",36,42,1.49003186636294,0.182036365186749,1.15475423018088,1.20377432315363,1.36354801134762,1.48262536490766,1.60844454950494,1.80155558539788,1.86739205373004
"36",37,43,1.66701939363115,0.179759324199162,1.3334003384485,1.38276450646168,1.54251160089588,1.66056254931316,1.78449034328443,1.97330046642683,2.0373267459099
"37",38,44,1.54805316844607,0.157997514891319,1.25392803657881,1.29765550315891,1.43876009814992,1.54268131447838,1.65149167893469,1.81677568467401,1.87270206830981
"38",39,45,1.37809616098316,0.138503875485162,1.12004855762005,1.15846134822594,1.282321351619,1.37345889425677,1.4688169686811,1.61354992246315,1.66249359140248
"39",40,46,1.37183442066072,0.132004828675344,1.1253423648332,1.16216320889477,1.28064240729375,1.36760269488024,1.45841432569335,1.59594111024382,1.64237220093864
"40",41,47,1.38014898212977,0.126518049759338,1.14333899736343,1.17884435948844,1.292838552745,1.37628494966581,1.4632479622911,1.59463472997713,1.63891560513315
"41",42,48,1.2528242701445,0.114846212548193,1.03786103054553,1.07009086947339,1.17356860543996,1.24931671138514,1.32825701002864,1.44752278022027,1.48771855315277
"42",43,49,1.31254220502451,0.114242135196795,1.09819320879931,1.13045104431029,1.23378774510018,1.30922919661623,1.38768571171089,1.50593476954794,1.54571694702613
"43",44,50,1.1682690596293,0.10366711548115,0.973933277141138,1.00313941904831,1.09677653777401,1.16520417152587,1.23642108608335,1.34385372700094,1.38002060999743
"44",45,51,1.13883112561479,0.100659401443566,0.950099527694446,0.978471360065787,1.06941840949861,1.13586679648937,1.20501294327009,1.30930288530161,1.34440709325304
"45",46,52,1.13741440889223,0.0993763583153854,0.950989754949247,0.979037727121746,1.06890261596915,1.13452153751215,1.20277317361058,1.30565931718403,1.34027742169405
"46",47,53,1.18170337258553,0.0998721633167694,0.994070580126112,1.02236500991911,1.11289545882218,1.17889098716768,1.24744594657296,1.35063538186991,1.38531727277651
"47",48,54,1.19377492370586,0.0981276942638864,1.00919809680604,1.03708324804236,1.12620544852981,1.19108732065189,1.2584150379629,1.35963456836478,1.39362386958054
"48",49,55,1.21199135129968,0.0964208547884445,1.03037689311063,1.05787232971449,1.14563836386249,1.20943536874148,1.27555840973784,1.37482933784993,1.40813008298817
"49",50,56,1.16808632037363,0.0920580984471999,0.99462266946766,1.02089966241839,1.10474671185683,1.16566881435404,1.22879092697258,1.323519567229,1.35528737770364
"50",51,57,1.1631990532703,0.0900110451482272,0.993467544224344,1.01920834045015,1.10128876338385,1.16087812433999,1.22257959371156,1.31510690236399,1.34611920966748
"51",52,58,1.19228774329943,0.0893657446004285,1.02356203468501,1.04919953633726,1.13085662310715,1.19005573956217,1.25128601876739,1.34298973093328,1.37369684265002
"52",53,59,1.17893143993436,0.0866767633085851,1.0151620649591,1.04007460337853,1.11936901398287,1.17680792090977,1.2361792559345,1.32503198760349,1.35476777239546
"53",54,60,1.37596425976433,0.0915277810756002,1.20240743551791,1.22895437604015,1.31317361130703,1.37393534695261,1.43654336655655,1.52989510032667,1.56105058245081
"54",55,61,1.33813311060742,0.085490188521755,1.17580698429562,1.20068711926099,1.27952165111086,1.33631296235187,1.39476056844286,1.48178791734307,1.51080245505898
"55",56,62,1.33574232409726,0.0814416468724475,1.18087356276024,1.20466456451027,1.27994599218461,1.33408749427356,1.38973483953805,1.47246496092543,1.50001490450544
"56",57,63,1.56050584213709,0.0841368362789048,1.39993843006966,1.42473962033451,1.502962403193,1.55899398483498,1.61640127755913,1.70142921838827,1.72966469868805
"57",58,64,1.53672979290436,0.0771262574478302,1.38926412462481,1.41210683876321,1.48402960795452,1.53543970037886,1.5880236966337,1.6657534222943,1.69152671710452
"58",59,65,1.45635689655622,0.0696669982205948,1.32299547620533,1.34369056832446,1.40878138916343,1.45524617249621,1.50272163893155,1.57281204608152,1.59603028752637
"59",60,66,1.34920769150843,0.0631132737848843,1.22832753905519,1.247100922815,1.30611906976399,1.3482237144116,1.39122370853535,1.45467092971004,1.47567954997084
"60",61,67,1.29642623947233,0.0592352268236777,1.18291169448247,1.20055574880871,1.25599619424999,1.29552417563764,1.33587296889821,1.39537378161031,1.41506700355785
"61",62,68,1.38109948858789,0.0589976462071884,1.26787148658456,1.28551077780193,1.34086155366889,1.38025949464589,1.42042176276205,1.47955351884747,1.49910099679915
"62",63,69,1.36934081820024,0.0558565770402295,1.26203768586785,1.27877836686453,1.33126361995537,1.36858141403071,1.4065902018662,1.46249368552515,1.48095949106208
"63",64,70,1.25528279055783,0.05090843955132,1.15747374622563,1.17273594267913,1.22058077493413,1.25459465439016,1.28923467939456,1.34017695074504,1.357002374706
"64",65,71,1.19833836800454,0.04824328614842,1.10563605344077,1.12010463705448,1.16545552787368,1.19769102969742,1.23051555407673,1.27878024475228,1.29471937744287
"65",66,72,1.17363906145177,0.0467218333254955,1.08384015175241,1.09786033883067,1.14179685523467,1.17301913077167,1.20480548969105,1.25153243889186,1.26696091553469
"66",67,73,1.12965790509894,0.0449709711361973,1.04322413551593,1.0567189276408,1.0990089593111,1.12906120581005,1.15965639713162,1.20463229242992,1.21948259962884
"67",68,74,1.11625208680724,0.0441237379653358,1.03143478676324,1.04468000987419,1.08618268400496,1.11567075937434,1.14568779217123,1.18980713821581,1.20437295748924
"68",69,75,1.1206317451861,0.0436867738242539,1.03663156374451,1.04975457324793,1.09086421480993,1.12006410042143,1.149780492797,1.19344521802139,1.20785774307062
"69",70,76,1.07518207529381,0.0422045881993192,0.994042732365343,1.00671622907653,1.04642252887207,1.0746299007449,1.10333970314703,1.14553145194753,1.15945931955603
"70",71,77,1.04762743062616,0.0413787956844306,0.968085397725054,0.980507114741111,1.01942886790402,1.04708269296404,1.07523218190682,1.11660590906304,1.13026510171609
"71",72,78,1.06809168607876,0.0416702254164358,0.98797007610634,1.0004868720543,1.03969798974468,1.06754983154089,1.09589471329746,1.13754482762366,1.1512925514862
"72",73,79,1.05104670031638,0.0410364792772538,0.972144799851408,0.984470773412712,1.02308462272889,1.05051268014262,1.07842664896649,1.11944423085448,1.13298333493831
"73",74,80,1.03567128969647,0.0405289494458922,0.957748716468236,0.969920877986758,1.00805441612011,1.03514266424943,1.06271191515721,1.10322490307888,1.11659793961882
"74",75,81,1.14378640978692,0.0424791608335396,1.06203297197403,1.07482274577767,1.11485523200401,1.14326057398318,1.17214437835078,1.21454375826186,1.22852807703874
"75",76,82,1.12438055438995,0.0412217911218491,1.04502811342439,1.05744672526877,1.09630912567603,1.12387683980481,1.15190288758363,1.19303260972344,1.20659551519979
"76",77,83,1.21444598007169,0.0420780592642213,1.13336393615135,1.14607243630737,1.18580609539196,1.2139600418776,1.24255614534591,1.28447711157524,1.29828952880476
"77",78,84,1.23728305273843,0.0411514222029974,1.15793181583081,1.17038198353126,1.20928377370244,1.23682685734269,1.26478503377456,1.30574025302126,1.31922677424375
"78",79,85,1.23117607298115,0.039653511283848,1.15467326060772,1.16668596130706,1.20420320713132,1.23075038129334,1.25768489212837,1.29711826381591,1.31009802442422
"79",80,86,1.19165841902833,0.0377781116021198,1.11875548115847,1.13020724696355,1.16596454635285,1.19125922726239,1.21691713224595,1.2544712760022,1.26682990199725
"80",81,87,1.15204764428234,0.0362322131361077,1.08211918930866,1.09310578355518,1.12740676409738,1.15166782888728,1.17627448706074,1.21228509498183,1.22413453186879
"81",82,88,1.14725170914063,0.0355065490171783,1.07870675392979,1.08948001432303,1.12310743554893,1.14688542990488,1.17099670082118,1.20627282047502,1.21787817387106
"82",83,89,1.19820796405354,0.0356445371842701,1.12935563844644,1.14018690853485,1.17397731676235,1.19785452891857,1.22205333015669,1.25743462307109,1.26906880994942
"83",84,90,1.18864185170193,0.0345587993134794,1.12186448449871,1.13237461665007,1.16515333665252,1.18830694544906,1.21176528363698,1.24605148610019,1.25732244321569
"84",85,91,1.12794003065678,0.0328216992198234,1.06452000469589,1.07450153983449,1.10563202625575,1.12762168930304,1.14990100944115,1.18246441627506,1.19316914494407
"85",86,92,1.11740649475916,0.0321897547491938,1.05519857807301,1.06499146573415,1.09552964197034,1.11709740719996,1.1389464094082,1.17087585285179,1.18137091215718
"86",87,93,1.11073092183645,0.0316706011341447,1.04951737188113,1.05915583556566,1.08920852443815,1.11042992525301,1.13192520098384,1.16333273794459,1.17365499300211
"87",88,94,1.09364938719662,0.0310200540085979,1.03368879041948,1.04313101908558,1.07256989229069,1.09335611896577,1.11440918851277,1.1451681229073,1.15527658622355
"88",89,95,1.0414297552174,0.0299513796118848,0.98354621609257,0.992658675655221,1.02107439993842,1.04114263674648,1.06147212096678,1.09118022504105,1.10094494790142
"89",90,96,1.02593204481778,0.0296655910350391,0.96860524094184,0.977629007661868,1.00577010795193,1.02564612475186,1.04578229860852,1.07521038439956,1.08488369170252
"90",91,97,0.999807492440677,0.0292797329776467,0.943236690848262,0.952139004644198,0.979905911679435,0.99952168436074,1.01939751236163,1.04845090077625,1.05800250019951
"91",92,98,1.02172047714253,0.0296931482310068,0.96434457399121,0.97337508635376,1.00153905378071,1.02143284501296,1.04158835116175,1.0710470104235,1.08073095254123
"92",93,99,0.991057254576445,0.0291993043856303,0.934646805442251,0.943522711874686,0.971209437856878,0.990770505080465,1.01059248429025,1.03956992913644,1.04909725959405
