"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-23",2,2,0,0
"2","2020-03-24",1,3,0,0
"3","2020-03-25",1,4,0,0
"4","2020-03-27",1,5,0,0
"5","2020-03-31",1,6,0,0
"6","2020-04-01",1,7,0,0
"7","2020-04-02",1,8,0,0
"8","2020-04-03",1,9,1.28571428571429,6.28571428571429
"9","2020-04-07",1,10,1.14285714285714,7.42857142857143
"10","2020-04-08",1,11,1.14285714285714,8.57142857142857
"11","2020-04-09",1,12,1.14285714285714,9.71428571428571
"12","2020-04-10",3,15,1.42857142857143,11.1428571428571
"13","2020-04-13",3,18,1.71428571428571,12.8571428571429
"14","2020-04-14",1,19,1.71428571428571,14.5714285714286
"15","2020-04-15",4,23,2.14285714285714,16.7142857142857
"16","2020-04-16",5,28,2.71428571428571,19.4285714285714
"17","2020-04-17",2,30,2.85714285714286,22.2857142857143
"18","2020-04-18",1,31,2.85714285714286,25.1428571428571
"19","2020-04-19",2,33,3,28.1428571428571
"20","2020-04-20",3,36,3,31.1428571428571
"21","2020-04-21",5,41,3.28571428571429,34.4285714285714
"22","2020-04-22",8,49,4.28571428571429,38.7142857142857
"23","2020-04-23",14,63,5.71428571428571,44.4285714285714
"24","2020-04-24",6,69,5.85714285714286,50.2857142857143
"25","2020-04-25",13,82,7.42857142857143,57.7142857142857
"26","2020-04-26",2,84,7.57142857142857,65.2857142857143
"27","2020-04-27",14,98,9.28571428571429,74.5714285714286
"28","2020-04-28",5,103,9.57142857142857,84.1428571428571
"29","2020-04-29",7,110,9.85714285714286,94
"30","2020-04-30",4,114,9.28571428571429,103.285714285714
"31","2020-05-01",9,123,8.57142857142857,111.857142857143
"32","2020-05-02",6,129,8.57142857142857,120.428571428571
"33","2020-05-03",3,132,7.14285714285714,127.571428571429
"34","2020-05-04",11,143,8.42857142857143,136
"35","2020-05-05",12,155,8.14285714285714,144.142857142857
"36","2020-05-06",17,172,9.85714285714286,154
"37","2020-05-07",19,191,11.5714285714286,165.571428571429
"38","2020-05-08",12,203,12.7142857142857,178.285714285714
"39","2020-05-09",10,213,12.8571428571429,191.142857142857
"40","2020-05-10",4,217,12.5714285714286,203.714285714286
"41","2020-05-11",13,230,14,217.714285714286
"42","2020-05-12",16,246,14.7142857142857,232.428571428571
"43","2020-05-13",14,260,15,247.428571428571
"44","2020-05-14",25,285,16.1428571428571,263.571428571429
"45","2020-05-15",13,298,15.2857142857143,278.857142857143
"46","2020-05-16",11,309,15.1428571428571,294
"47","2020-05-17",13,322,15.5714285714286,309.571428571429
"48","2020-05-18",37,359,20.2857142857143,329.857142857143
"49","2020-05-19",29,388,22.5714285714286,352.428571428571
"50","2020-05-20",32,420,24.8571428571429,377.285714285714
"51","2020-05-21",21,441,25.8571428571429,403.142857142857
"52","2020-05-22",35,476,27.2857142857143,430.428571428571
"53","2020-05-23",6,482,26.2857142857143,456.714285714286
"54","2020-05-24",19,501,27.4285714285714,484.142857142857
"55","2020-05-25",44,545,31.8571428571429,516
"56","2020-05-26",52,597,34,550
"57","2020-05-27",50,647,37,587
"58","2020-05-28",32,679,37,624
"59","2020-05-29",34,713,38.8571428571429,662.857142857143
"60","2020-05-30",14,727,35.8571428571429,698.714285714286
"61","2020-05-31",10,737,36.4285714285714,735.142857142857
"62","2020-06-01",34,771,38.5714285714286,773.714285714286
"63","2020-06-02",28,799,36.2857142857143,810
"64","2020-06-03",31,830,33.2857142857143,843.285714285714
"65","2020-06-04",22,852,29.2857142857143,872.571428571429
"66","2020-06-05",35,887,29.7142857142857,902.285714285714
"67","2020-06-06",15,902,27,929.285714285714
"68","2020-06-07",15,917,27.1428571428571,956.428571428571
"69","2020-06-08",40,957,31.4285714285714,987.857142857143
"70","2020-06-09",38,995,32,1019.85714285714
"71","2020-06-10",39,1034,33.5714285714286,1053.42857142857
"72","2020-06-11",47,1081,35.8571428571429,1089.28571428571
"73","2020-06-12",30,1111,37,1126.28571428571
"74","2020-06-13",8,1119,33.1428571428571,1159.42857142857
"75","2020-06-14",8,1127,32.1428571428571,1191.57142857143
"76","2020-06-15",33,1160,34.7142857142857,1226.28571428571
"77","2020-06-16",32,1192,33.5714285714286,1259.85714285714
"78","2020-06-17",36,1228,33.2857142857143,1293.14285714286
"79","2020-06-18",26,1254,31.4285714285714,1324.57142857143
"80","2020-06-19",30,1284,29,1353.57142857143
"81","2020-06-20",12,1296,26.4285714285714,1380
