"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-10",1,1,0,0
"2","2020-04-14",1,2,0,0
"3","2020-04-18",1,3,0,0
"4","2020-04-23",1,4,0,0
"5","2020-04-25",2,6,0,0
"6","2020-04-29",3,9,0,0
"7","2020-04-30",1,10,0,0
"8","2020-05-01",2,12,1.71428571428571,6.71428571428571
"9","2020-05-02",2,14,1.85714285714286,8.57142857142857
"10","2020-05-04",2,16,2,10.5714285714286
"11","2020-05-05",7,23,2.85714285714286,13.4285714285714
"12","2020-05-06",1,24,2.85714285714286,16.2857142857143
"13","2020-05-07",1,25,2.71428571428571,19
"14","2020-05-08",1,26,2.42857142857143,21.4285714285714
"15","2020-05-11",3,29,2.71428571428571,24.1428571428571
"16","2020-05-12",2,31,2.71428571428571,26.8571428571429
"17","2020-05-14",1,32,2.57142857142857,29.4285714285714
"18","2020-05-15",2,34,2.57142857142857,32
"19","2020-05-17",2,36,1.85714285714286,33.8571428571429
"20","2020-05-18",2,38,2,35.8571428571429
"21","2020-05-19",2,40,2.14285714285714,38
"22","2020-05-20",2,42,2.28571428571429,40.2857142857143
"23","2020-05-21",5,47,2.57142857142857,42.8571428571429
"24","2020-05-22",3,50,2.71428571428571,45.5714285714286
"25","2020-05-23",3,53,3,48.5714285714286
"26","2020-05-24",2,55,3,51.5714285714286
"27","2020-05-25",3,58,3.14285714285714,54.7142857142857
"28","2020-05-26",4,62,3.42857142857143,58.1428571428571
"29","2020-05-27",6,68,4,62.1428571428571
"30","2020-05-28",6,74,4.57142857142857,66.7142857142857
"31","2020-05-29",3,77,4.28571428571429,71
"32","2020-05-30",2,79,4.14285714285714,75.1428571428571
"33","2020-05-31",5,84,4.42857142857143,79.5714285714286
"34","2020-06-01",4,88,4.71428571428571,84.2857142857143
"35","2020-06-02",1,89,4.42857142857143,88.7142857142857
"36","2020-06-03",4,93,4.42857142857143,93.1428571428571
"37","2020-06-04",4,97,4.14285714285714,97.2857142857143
"38","2020-06-05",5,102,4,101.285714285714
"39","2020-06-06",3,105,4,105.285714285714
"40","2020-06-07",2,107,4,109.285714285714
"41","2020-06-08",3,110,3.71428571428571,113
"42","2020-06-09",1,111,3.28571428571429,116.285714285714
"43","2020-06-10",2,113,3.42857142857143,119.714285714286
"44","2020-06-11",3,116,3.28571428571429,123
"45","2020-06-12",9,125,4,127
"46","2020-06-13",5,130,4,131
"47","2020-06-14",1,131,3.71428571428571,134.714285714286
"48","2020-06-15",4,135,4,138.714285714286
"49","2020-06-16",3,138,4,142.714285714286
"50","2020-06-17",5,143,4.57142857142857,147.285714285714
"51","2020-06-18",3,146,4.71428571428571,152
"52","2020-06-19",4,150,4.85714285714286,156.857142857143
"53","2020-06-20",1,151,3.71428571428571,160.571428571429
"54","2020-06-21",4,155,3.57142857142857,164.142857142857
"55","2020-06-22",5,160,4.14285714285714,168.285714285714
"56","2020-06-23",2,162,3.85714285714286,172.142857142857
"57","2020-06-24",4,166,4,176.142857142857
"58","2020-06-25",4,170,3.85714285714286,180
"59","2020-06-26",1,171,3.57142857142857,183.571428571429
"60","2020-06-27",1,172,3.14285714285714,186.714285714286
"61","2020-06-28",2,174,3.28571428571429,190
"62","2020-06-29",6,180,3.57142857142857,193.571428571429
"63","2020-06-30",2,182,3.14285714285714,196.714285714286
"64","2020-07-02",3,185,3.28571428571429,200
"65","2020-07-03",1,186,2.85714285714286,202.857142857143
"66","2020-07-05",1,187,2.42857142857143,205.285714285714
"67","2020-07-06",5,192,3,208.285714285714
"68","2020-07-08",5,197,3.57142857142857,211.857142857143
"69","2020-07-09",2,199,3.57142857142857,215.428571428571
"70","2020-07-10",2,201,3,218.428571428571
"71","9999-99-99",1444,1645,209,427.428571428571
