"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-12",1,1,0,0
"2","2020-03-15",4,5,0,0
"3","2020-03-16",2,7,0,0
"4","2020-03-17",6,13,0,0
"5","2020-03-19",2,15,0,0
"6","2020-03-20",6,21,0,0
"7","2020-03-22",7,28,0,0
"8","2020-03-23",5,33,4.71428571428571,17.5714285714286
"9","2020-03-24",8,41,5.71428571428571,23.2857142857143
"10","2020-03-25",3,44,5.57142857142857,28.8571428571429
"11","2020-03-27",2,46,5.57142857142857,34.4285714285714
"12","2020-03-28",2,48,5,39.4285714285714
"13","2020-03-29",2,50,5,44.4285714285714
"14","2020-03-30",10,60,5.57142857142857,50
"15","2020-03-31",3,63,5,55
"16","2020-04-01",7,70,5.28571428571429,60.2857142857143
"17","2020-04-02",2,72,4.42857142857143,64.7142857142857
"18","2020-04-03",7,79,5,69.7142857142857
"19","2020-04-04",1,80,4.85714285714286,74.5714285714286
"20","2020-04-05",4,84,5.14285714285714,79.7142857142857
"21","2020-04-06",9,93,6.14285714285714,85.8571428571429
"22","2020-04-07",10,103,6.14285714285714,92
"23","2020-04-08",8,111,6.85714285714286,98.8571428571429
"24","2020-04-09",8,119,7,105.857142857143
"25","2020-04-10",3,122,7.14285714285714,113
"26","2020-04-11",5,127,6.85714285714286,119.857142857143
"27","2020-04-12",5,132,7.42857142857143,127.285714285714
"28","2020-04-13",16,148,9.14285714285714,136.428571428571
"29","2020-04-14",13,161,9.71428571428571,146.142857142857
"30","2020-04-15",22,183,11.4285714285714,157.571428571429
"31","2020-04-16",9,192,11.5714285714286,169.142857142857
"32","2020-04-17",10,202,11.8571428571429,181
"33","2020-04-18",4,206,12,193
"34","2020-04-19",5,211,12,205
"35","2020-04-20",16,227,13.5714285714286,218.571428571429
"36","2020-04-21",12,239,13,231.571428571429
"37","2020-04-22",11,250,12.7142857142857,244.285714285714
"38","2020-04-23",16,266,11.8571428571429,256.142857142857
"39","2020-04-24",19,285,13.2857142857143,269.428571428571
"40","2020-04-25",16,301,14.1428571428571,283.571428571429
"41","2020-04-26",14,315,15.5714285714286,299.142857142857
"42","2020-04-27",19,334,17.5714285714286,316.714285714286
"43","2020-04-28",19,353,18,334.714285714286
"44","2020-04-29",18,371,18.8571428571429,353.571428571429
"45","2020-04-30",25,396,20.8571428571429,374.428571428571
"46","2020-05-01",11,407,20.1428571428571,394.571428571429
"47","2020-05-02",17,424,19.8571428571429,414.428571428571
"48","2020-05-03",10,434,19,433.428571428571
"49","2020-05-04",31,465,21.4285714285714,454.857142857143
"50","2020-05-05",20,485,21.5714285714286,476.428571428571
"51","2020-05-06",20,505,21.7142857142857,498.142857142857
"52","2020-05-07",16,521,21.4285714285714,519.571428571429
"53","2020-05-08",15,536,20,539.571428571429
"54","2020-05-09",8,544,19.5714285714286,559.142857142857
"55","2020-05-10",10,554,18.5714285714286,577.714285714286
"56","2020-05-11",23,577,20.4285714285714,598.142857142857
"57","2020-05-12",26,603,19.7142857142857,617.857142857143
"58","2020-05-13",36,639,22,639.857142857143
"59","2020-05-14",36,675,24.2857142857143,664.142857142857
"60","2020-05-15",22,697,25.1428571428571,689.285714285714
"61","2020-05-16",14,711,25,714.285714285714
"62","2020-05-17",24,735,27.2857142857143,741.571428571429
"63","2020-05-18",33,768,30.5714285714286,772.142857142857
"64","2020-05-19",29,797,31.4285714285714,803.571428571429
"65","2020-05-20",36,833,32.8571428571429,836.428571428571
"66","2020-05-21",36,869,32.8571428571429,869.285714285714
"67","2020-05-22",28,897,31.7142857142857,901
"68","2020-05-23",21,918,31.5714285714286,932.571428571429
"69","2020-05-24",18,936,32.1428571428571,964.714285714286
"70","2020-05-25",38,974,34.1428571428571,998.857142857143
"71","2020-05-26",29,1003,33.5714285714286,1032.42857142857
"72","2020-05-27",44,1047,35.7142857142857,1068.14285714286
"73","2020-05-28",28,1075,34.5714285714286,1102.71428571429
"74","2020-05-29",28,1103,33.4285714285714,1136.14285714286
"75","2020-05-30",15,1118,31.5714285714286,1167.71428571429
"76","2020-05-31",11,1129,30.1428571428571,1197.85714285714
"77","2020-06-01",37,1166,32.8571428571429,1230.71428571429
"78","2020-06-02",30,1196,31.7142857142857,1262.42857142857
"79","2020-06-03",31,1227,32,1294.42857142857
"80","2020-06-04",21,1248,28.7142857142857,1323.14285714286
"81","2020-06-05",22,1270,27.8571428571429,1351
