"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-03",2,2,0,0
"2","2020-04-06",1,3,0,0
"3","2020-04-13",1,4,0,0
"4","2020-04-15",3,7,0,0
"5","2020-04-16",1,8,0,0
"6","2020-04-19",1,9,0,0
"7","2020-04-20",2,11,0,0
"8","2020-04-21",1,12,1.71428571428571,8
"9","2020-04-22",1,13,1.57142857142857,9.57142857142857
"10","2020-04-23",2,15,1.71428571428571,11.2857142857143
"11","2020-04-25",1,16,1.71428571428571,13
"12","2020-04-26",1,17,1.42857142857143,14.4285714285714
"13","2020-04-29",2,19,1.57142857142857,16
"14","2020-05-01",2,21,1.71428571428571,17.7142857142857
"15","2020-05-02",2,23,1.71428571428571,19.4285714285714
"16","2020-05-03",2,25,1.85714285714286,21.2857142857143
"17","2020-05-04",2,27,2,23.2857142857143
"18","2020-05-05",2,29,2,25.2857142857143
"19","2020-05-06",2,31,2.14285714285714,27.4285714285714
"20","2020-05-07",1,32,2.14285714285714,29.5714285714286
"21","2020-05-09",1,33,2,31.5714285714286
"22","2020-05-10",3,36,2.14285714285714,33.7142857142857
"23","2020-05-11",3,39,2.28571428571429,36
"24","2020-05-12",3,42,2.42857142857143,38.4285714285714
"25","2020-05-13",2,44,2.42857142857143,40.8571428571429
"26","2020-05-14",4,48,2.71428571428571,43.5714285714286
"27","2020-05-16",2,50,2.71428571428571,46.2857142857143
"28","2020-05-17",1,51,2.71428571428571,49
"29","2020-05-18",2,53,2.85714285714286,51.8571428571429
"30","2020-05-19",2,55,2.71428571428571,54.5714285714286
"31","2020-05-20",7,62,3.28571428571429,57.8571428571429
"32","2020-05-21",1,63,3,60.8571428571429
"33","2020-05-22",3,66,3.14285714285714,64
"34","2020-05-23",5,71,3.28571428571429,67.2857142857143
"35","2020-05-24",1,72,3.14285714285714,70.4285714285714
"36","2020-05-25",6,78,3.85714285714286,74.2857142857143
"37","2020-05-26",6,84,4.42857142857143,78.7142857142857
"38","2020-05-27",3,87,4.57142857142857,83.2857142857143
"39","2020-05-28",3,90,4,87.2857142857143
"40","2020-05-29",4,94,4.42857142857143,91.7142857142857
"41","2020-05-30",3,97,4.42857142857143,96.1428571428571
"42","2020-05-31",4,101,4.28571428571429,100.428571428571
"43","2020-06-01",7,108,5.14285714285714,105.571428571429
"44","2020-06-02",4,112,4.85714285714286,110.428571428571
"45","2020-06-03",2,114,4.28571428571429,114.714285714286
"46","2020-06-04",3,117,4.28571428571429,119
"47","2020-06-06",3,120,4.28571428571429,123.285714285714
"48","2020-06-07",3,123,4.14285714285714,127.428571428571
"49","2020-06-08",2,125,4,131.428571428571
"50","2020-06-09",3,128,3.85714285714286,135.285714285714
"51","2020-06-10",6,134,3.71428571428571,139
"52","2020-06-11",3,137,3.57142857142857,142.571428571429
"53","2020-06-12",3,140,3.71428571428571,146.285714285714
"54","2020-06-13",3,143,3.71428571428571,150
"55","2020-06-14",4,147,3.85714285714286,153.857142857143
"56","2020-06-15",5,152,4.14285714285714,158
"57","2020-06-16",2,154,4.14285714285714,162.142857142857
"58","2020-06-17",4,158,4.28571428571429,166.428571428571
"59","2020-06-18",6,164,4.28571428571429,170.714285714286
"60","2020-06-19",1,165,4,174.714285714286
"61","2020-06-20",2,167,3.85714285714286,178.571428571429
"62","2020-06-21",3,170,3.85714285714286,182.428571428571
"63","2020-06-22",3,173,3.71428571428571,186.142857142857
"64","2020-06-23",3,176,3.42857142857143,189.571428571429
"65","2020-06-24",10,186,4.57142857142857,194.142857142857
"66","2020-06-25",6,192,4.85714285714286,199
"67","2020-06-26",5,197,4.71428571428571,203.714285714286
"68","2020-06-28",2,199,4.85714285714286,208.571428571429
"69","2020-06-29",6,205,5.42857142857143,214
"70","2020-06-30",14,219,7,221
"71","2020-07-01",6,225,7.42857142857143,228.428571428571
"72","2020-07-02",6,231,7.85714285714286,236.285714285714
"73","2020-07-03",7,238,7.42857142857143,243.714285714286
"74","2020-07-04",5,243,7.28571428571429,251
"75","2020-07-05",3,246,7,258
"76","2020-07-06",11,257,8.28571428571429,266.285714285714
"77","2020-07-07",6,263,8.28571428571429,274.571428571429
"78","2020-07-08",6,269,7.14285714285714,281.714285714286
"79","2020-07-09",3,272,6.71428571428571,288.428571428571
"80","2020-07-10",1,273,6,294.428571428571
"81","2020-07-11",1,274,5.14285714285714,299.571428571429
"82","9999-99-99",3274,3548,472.142857142857,771.714285714286
