"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-16",1,2,0,0
"3","2020-03-18",3,5,0,0
"4","2020-03-19",1,6,0,0
"5","2020-03-20",2,8,0,0
"6","2020-03-21",2,10,0,0
"7","2020-03-22",2,12,0,0
"8","2020-03-23",6,18,2.57142857142857,8.85714285714286
"9","2020-03-24",4,22,3,11.8571428571429
"10","2020-03-25",2,24,3.14285714285714,15
"11","2020-03-26",4,28,3.28571428571429,18.2857142857143
"12","2020-03-27",5,33,3.85714285714286,22.1428571428571
"13","2020-03-28",2,35,3.85714285714286,26
"14","2020-03-29",6,41,4.42857142857143,30.4285714285714
"15","2020-03-30",9,50,5.42857142857143,35.8571428571429
"16","2020-03-31",15,65,6.71428571428571,42.5714285714286
"17","2020-04-01",21,86,9.14285714285714,51.7142857142857
"18","2020-04-02",11,97,10.4285714285714,62.1428571428571
"19","2020-04-03",11,108,11.4285714285714,73.5714285714286
"20","2020-04-04",2,110,11,84.5714285714286
"21","2020-04-05",3,113,11.1428571428571,95.7142857142857
"22","2020-04-06",21,134,13.2857142857143,109
"23","2020-04-07",16,150,14.2857142857143,123.285714285714
"24","2020-04-08",24,174,15.5714285714286,138.857142857143
"25","2020-04-09",15,189,14.7142857142857,153.571428571429
"26","2020-04-10",23,212,16.4285714285714,170
"27","2020-04-11",18,230,17.4285714285714,187.428571428571
"28","2020-04-12",22,252,20.2857142857143,207.714285714286
"29","2020-04-13",33,285,24.5714285714286,232.285714285714
"30","2020-04-14",43,328,27.7142857142857,260
"31","2020-04-15",38,366,30.8571428571429,290.857142857143
"32","2020-04-16",26,392,31.1428571428571,322
"33","2020-04-17",50,442,36.1428571428571,358.142857142857
"34","2020-04-18",17,459,35.2857142857143,393.428571428571
"35","2020-04-19",14,473,34.7142857142857,428.142857142857
"36","2020-04-20",34,507,36.4285714285714,464.571428571429
"37","2020-04-21",44,551,38,502.571428571429
"38","2020-04-22",29,580,36,538.571428571429
"39","2020-04-23",49,629,37.5714285714286,576.142857142857
"40","2020-04-24",32,661,38.4285714285714,614.571428571429
"41","2020-04-25",16,677,33.5714285714286,648.142857142857
"42","2020-04-26",18,695,33.7142857142857,681.857142857143
"43","2020-04-27",42,737,37.7142857142857,719.571428571429
"44","2020-04-28",26,763,36.5714285714286,756.142857142857
"45","2020-04-29",51,814,37.5714285714286,793.714285714286
"46","2020-04-30",37,851,38.7142857142857,832.428571428571
"47","2020-05-01",35,886,36.7142857142857,869.142857142857
"48","2020-05-02",28,914,36.1428571428571,905.285714285714
"49","2020-05-03",48,962,40.7142857142857,946
"50","2020-05-04",58,1020,46.4285714285714,992.428571428571
"51","2020-05-05",64,1084,49.5714285714286,1042
"52","2020-05-06",58,1142,54.1428571428571,1096.14285714286
"53","2020-05-07",67,1209,56.4285714285714,1152.57142857143
"54","2020-05-08",77,1286,62.1428571428571,1214.71428571429
"55","2020-05-09",42,1328,63.1428571428571,1277.85714285714
"56","2020-05-10",40,1368,64.8571428571429,1342.71428571429
