"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-30",1,1,0,0
"2","2020-03-31",1,2,0,0
"3","2020-04-02",1,3,0,0
"4","2020-04-03",1,4,0,0
"5","2020-04-04",4,8,0,0
"6","2020-04-06",2,10,0,0
"7","2020-04-07",2,12,0,0
"8","2020-04-08",2,14,2,7.71428571428571
"9","2020-04-09",2,16,2.14285714285714,9.85714285714286
"10","2020-04-10",3,19,2.42857142857143,12.2857142857143
"11","2020-04-11",4,23,2.85714285714286,15.1428571428571
"12","2020-04-12",2,25,3,18.1428571428571
"13","2020-04-14",2,27,2.71428571428571,20.8571428571429
"14","2020-04-15",3,30,2.85714285714286,23.7142857142857
"15","2020-04-16",1,31,2.71428571428571,26.4285714285714
"16","2020-04-17",4,35,3,29.4285714285714
"17","2020-04-18",6,41,3.57142857142857,33
"18","2020-04-19",3,44,3.57142857142857,36.5714285714286
"19","2020-04-20",4,48,3.57142857142857,40.1428571428571
"20","2020-04-21",3,51,3.71428571428571,43.8571428571429
"21","2020-04-22",5,56,4.14285714285714,48
"22","2020-04-23",3,59,4.14285714285714,52.1428571428571
"23","2020-04-24",4,63,4.57142857142857,56.7142857142857
"24","2020-04-25",1,64,4.14285714285714,60.8571428571429
"25","2020-04-26",5,69,4,64.8571428571429
"26","2020-04-27",8,77,4.71428571428571,69.5714285714286
"27","2020-04-28",3,80,4.57142857142857,74.1428571428571
"28","2020-04-29",4,84,4.71428571428571,78.8571428571429
"29","2020-04-30",5,89,4.71428571428571,83.5714285714286
"30","2020-05-01",6,95,5.14285714285714,88.7142857142857
"31","2020-05-02",10,105,6,94.7142857142857
"32","2020-05-03",5,110,6.57142857142857,101.285714285714
"33","2020-05-04",6,116,6.71428571428571,108
"34","2020-05-05",7,123,6.57142857142857,114.571428571429
"35","2020-05-06",6,129,7,121.571428571429
"36","2020-05-07",4,133,7,128.571428571429
"37","2020-05-08",7,140,7.28571428571429,135.857142857143
"38","2020-05-09",11,151,8,143.857142857143
"39","2020-05-10",10,161,8,151.857142857143
"40","2020-05-11",9,170,8.57142857142857,160.428571428571
"41","2020-05-12",12,182,9.42857142857143,169.857142857143
"42","2020-05-13",17,199,10.8571428571429,180.714285714286
"43","2020-05-14",13,212,11.8571428571429,192.571428571429
"44","2020-05-15",14,226,13.2857142857143,205.857142857143
"45","2020-05-16",12,238,14,219.857142857143
"46","2020-05-17",18,256,15,234.857142857143
"47","2020-05-18",30,286,17.8571428571429,252.714285714286
"48","2020-05-19",17,303,19,271.714285714286
"49","2020-05-20",28,331,21.2857142857143,293
"50","2020-05-21",9,340,20.1428571428571,313.142857142857
"51","2020-05-22",12,352,20,333.142857142857
"52","2020-05-23",15,367,20.1428571428571,353.285714285714
"53","2020-05-24",15,382,20.5714285714286,373.857142857143
"54","2020-05-25",13,395,19.8571428571429,393.714285714286
"55","2020-05-26",17,412,18,411.714285714286
"56","2020-05-27",17,429,18,429.714285714286
"57","2020-05-28",22,451,17.1428571428571,446.857142857143
"58","2020-05-29",9,460,17.1428571428571,464
"59","2020-05-30",12,472,17.1428571428571,481.142857142857
"60","2020-05-31",15,487,17.1428571428571,498.285714285714
"61","2020-06-01",17,504,17.4285714285714,515.714285714286
"62","2020-06-02",14,518,17.5714285714286,533.285714285714
"63","2020-06-03",13,531,17,550.285714285714
"64","2020-06-04",15,546,16.7142857142857,567
"65","2020-06-05",13,559,15.4285714285714,582.428571428571
"66","2020-06-06",25,584,17.7142857142857,600.142857142857
"67","2020-06-07",17,601,18.4285714285714,618.571428571429
"68","2020-06-08",21,622,19.2857142857143,637.857142857143
"69","2020-06-09",9,631,18.1428571428571,656
"70","2020-06-10",20,651,19,675
"71","2020-06-11",12,663,18.8571428571429,693.857142857143
"72","2020-06-12",19,682,19.4285714285714,713.285714285714
"73","2020-06-13",15,697,19.7142857142857,733
"74","2020-06-14",19,716,18.8571428571429,751.857142857143
"75","2020-06-15",9,725,17.7142857142857,769.571428571429
"76","2020-06-16",11,736,16.2857142857143,785.857142857143
"77","2020-06-17",16,752,17.2857142857143,803.142857142857
"78","2020-06-18",10,762,15.8571428571429,819
"79","2020-06-19",16,778,16.4285714285714,835.428571428571
"80","2020-06-20",11,789,15.2857142857143,850.714285714286
"81","2020-06-21",13,802,15,865.714285714286
"82","2020-06-22",14,816,14.2857142857143,880
"83","2020-06-23",13,829,14.8571428571429,894.857142857143
"84","2020-06-24",15,844,15.4285714285714,910.285714285714
"85","2020-06-25",15,859,15.2857142857143,925.571428571429
"86","2020-06-26",16,875,16.1428571428571,941.714285714286
"87","2020-06-27",13,888,15.7142857142857,957.428571428571
"88","2020-06-28",9,897,15.4285714285714,972.857142857143
"89","2020-06-29",17,914,16,988.857142857143
"90","2020-06-30",11,925,15.5714285714286,1004.42857142857
"91","2020-07-01",11,936,15.2857142857143,1019.71428571429
"92","2020-07-02",15,951,15.2857142857143,1035
"93","2020-07-03",19,970,15.8571428571429,1050.85714285714
"94","2020-07-04",11,981,15.1428571428571,1066
"95","2020-07-05",17,998,15.7142857142857,1081.71428571429
"96","2020-07-06",16,1014,16.7142857142857,1098.42857142857
"97","2020-07-07",11,1025,15.8571428571429,1114.28571428571
"98","2020-07-08",8,1033,15.4285714285714,1129.71428571429
"99","2020-07-09",7,1040,14.8571428571429,1144.57142857143
"100","2020-07-10",3,1043,13.1428571428571,1157.71428571429
"101","9999-99-99",5010,6053,726.142857142857,1883.85714285714
