"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",1,1,0,0
"2","2020-03-19",1,2,0,0
"3","2020-03-20",2,4,0,0
"4","2020-03-21",5,9,0,0
"5","2020-03-23",1,10,0,0
"6","2020-03-24",3,13,0,0
"7","2020-03-25",1,14,0,0
"8","2020-03-28",1,15,2.14285714285714,9.71428571428571
"9","2020-03-29",1,16,2.14285714285714,11.8571428571429
"10","2020-03-31",1,17,2.14285714285714,14
"11","2020-04-01",2,19,2.14285714285714,16.1428571428571
"12","2020-04-03",1,20,1.57142857142857,17.7142857142857
"13","2020-04-05",2,22,1.71428571428571,19.4285714285714
"14","2020-04-08",1,23,1.42857142857143,20.8571428571429
"15","2020-04-09",1,24,1.42857142857143,22.2857142857143
"16","2020-04-13",3,27,1.71428571428571,24
"17","2020-04-14",1,28,1.71428571428571,25.7142857142857
"18","2020-04-15",2,30,1.85714285714286,27.5714285714286
"19","2020-04-17",1,31,1.71428571428571,29.2857142857143
"20","2020-04-19",1,32,1.71428571428571,31
"21","2020-04-20",3,35,1.85714285714286,32.8571428571429
"22","2020-04-21",1,36,1.85714285714286,34.7142857142857
"23","2020-04-22",1,37,1.85714285714286,36.5714285714286
"24","2020-04-23",4,41,2,38.5714285714286
"25","2020-04-25",3,44,2.28571428571429,40.8571428571429
"26","2020-04-27",4,48,2.57142857142857,43.4285714285714
"27","2020-04-28",2,50,2.71428571428571,46.1428571428571
"28","2020-04-29",1,51,2.71428571428571,48.8571428571429
"29","2020-04-30",2,53,2.57142857142857,51.4285714285714
"30","2020-05-01",3,56,2.85714285714286,54.2857142857143
"31","2020-05-02",2,58,3,57.2857142857143
"32","2020-05-04",1,59,2.57142857142857,59.8571428571429
"33","2020-05-05",1,60,2.28571428571429,62.1428571428571
"34","2020-05-06",4,64,2.28571428571429,64.4285714285714
"35","2020-05-07",4,68,2.57142857142857,67
"36","2020-05-08",8,76,3.57142857142857,70.5714285714286
"37","2020-05-09",4,80,3.85714285714286,74.4285714285714
"38","2020-05-10",3,83,3.85714285714286,78.2857142857143
"39","2020-05-11",3,86,4,82.2857142857143
"40","2020-05-12",6,92,4.71428571428571,87
"41","2020-05-13",16,108,6.85714285714286,93.8571428571429
"42","2020-05-14",4,112,6.85714285714286,100.714285714286
"43","2020-05-15",11,123,7.85714285714286,108.571428571429
"44","2020-05-16",9,132,8,116.571428571429
"45","2020-05-17",1,133,7.57142857142857,124.142857142857
"46","2020-05-18",7,140,8.14285714285714,132.285714285714
"47","2020-05-19",6,146,8.57142857142857,140.857142857143
"48","2020-05-20",8,154,8.85714285714286,149.714285714286
"49","2020-05-21",4,158,7.14285714285714,156.857142857143
"50","2020-05-22",11,169,8.14285714285714,165
"51","2020-05-23",4,173,7.14285714285714,172.142857142857
"52","2020-05-24",1,174,6,178.142857142857
"53","2020-05-25",9,183,7.14285714285714,185.285714285714
"54","2020-05-26",9,192,7.42857142857143,192.714285714286
"55","2020-05-27",9,201,7.85714285714286,200.571428571429
"56","2020-05-28",7,208,7.71428571428571,208.285714285714
"57","2020-05-29",13,221,9,217.285714285714
"58","2020-05-30",4,225,8,225.285714285714
"59","2020-05-31",3,228,7.85714285714286,233.142857142857
"60","2020-06-01",27,255,11.5714285714286,244.714285714286
"61","2020-06-02",17,272,12.7142857142857,257.428571428571
"62","2020-06-03",27,299,15.2857142857143,272.714285714286
"63","2020-06-04",11,310,15.5714285714286,288.285714285714
"64","2020-06-05",16,326,16.8571428571429,305.142857142857
"65","2020-06-06",19,345,17.7142857142857,322.857142857143
"66","2020-06-07",6,351,18,340.857142857143
"67","2020-06-08",25,376,21.1428571428571,362
"68","2020-06-09",23,399,20.5714285714286,382.571428571429
"69","2020-06-10",30,429,22.4285714285714,405
"70","2020-06-11",15,444,20.7142857142857,425.714285714286
"71","2020-06-12",25,469,22.7142857142857,448.428571428571
"72","2020-06-13",12,481,22.1428571428571,470.571428571429
"73","2020-06-14",7,488,20.4285714285714,491
"74","2020-06-15",36,524,24.7142857142857,515.714285714286
"75","2020-06-16",32,556,25.7142857142857,541.428571428571
"76","2020-06-17",23,579,25.7142857142857,567.142857142857
"77","2020-06-18",21,600,24.4285714285714,591.571428571429
"78","2020-06-19",32,632,26.8571428571429,618.428571428571
"79","2020-06-20",28,660,27.2857142857143,645.714285714286
"80","2020-06-21",17,677,28,673.714285714286
"81","2020-06-22",39,716,32.5714285714286,706.285714285714
"82","2020-06-23",16,732,29.7142857142857,736
"83","2020-06-24",32,764,29.7142857142857,765.714285714286
"84","2020-06-25",16,780,28.7142857142857,794.428571428571
"85","2020-06-26",17,797,28.1428571428571,822.571428571429
"86","2020-06-27",8,805,24.7142857142857,847.285714285714
"87","2020-06-28",10,815,22.1428571428571,869.428571428571
"88","2020-06-29",33,848,24.4285714285714,893.857142857143
"89","2020-06-30",9,857,20.1428571428571,914
"90","2020-07-01",22,879,21,935
"91","2020-07-02",15,894,18.5714285714286,953.571428571429
"92","2020-07-03",19,913,19,972.571428571429
"93","2020-07-04",5,918,17.2857142857143,989.857142857143
"94","2020-07-05",10,928,17.5714285714286,1007.42857142857
"95","2020-07-06",22,950,19.2857142857143,1026.71428571429
"96","2020-07-07",19,969,17.2857142857143,1044
"97","2020-07-08",2,971,16.2857142857143,1060.28571428571
"98","2020-07-09",2,973,13.4285714285714,1073.71428571429
"99","2020-07-10",2,975,11.5714285714286,1085.28571428571
