"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.52341360411255,0.393343701207582,0.852643029763996,0.939065710538309,1.24298401709391,1.48969698343856,1.76714670577577,2.22281135905903,2.38562722483025
"2",3,9,1.3820373895186,0.356840519562767,0.773515835663499,0.851918296958381,1.12763229996133,1.35144974720408,1.60315151023576,2.01652945711733,2.1642356437335
"3",4,10,1.2131664643995,0.324232375921915,0.663249395147134,0.733440368479948,0.981675051368094,1.18440701882103,1.41336033903855,1.79102963355574,1.92636934415956
"4",5,11,0.939686652285642,0.283326186012421,0.469088191150216,0.526993982517965,0.736356374778938,0.911369827499574,1.11221589919523,1.44901554626824,1.57101564576952
"5",6,12,1.01368002594797,0.305636027595195,0.506025416685918,0.568490860835224,0.794338992979513,0.983133460649753,1.19979467497347,1.56311480318197,1.69472150816954
"6",7,13,0.959088559610485,0.303290432617931,0.459920243734606,0.520344453532581,0.740980961349635,0.927315357311102,1.14264334201963,1.50626933966577,1.63858395334499
"7",8,14,1.00662950127829,0.318324198395876,0.482717973162332,0.546137343109538,0.777710554573832,0.973281337061176,1.19928288789444,1.58093341744616,1.71980671777396
"8",9,15,1.03564426903419,0.327499473584825,0.496631682094091,0.561879031737807,0.80012703560645,1.00133488796559,1.23385063543383,1.62650173815056,1.76937787820379
"9",10,16,1.26127329192695,0.364098237307854,0.651718314934863,0.727777025917604,1.00046575696487,1.22641623378666,1.48415867752089,1.91372095308701,2.06870245895878
"10",11,17,1.1858490804708,0.342325142914045,0.6127455242557,0.684255920184945,0.940637850284416,1.15307647630313,1.39540590788381,1.79928033600776,1.94499393939917
"11",12,18,1.14506000004937,0.330550349633387,0.59166921119163,0.660719898428965,0.908283182599834,1.11341465938345,1.34740880206776,1.73739135575321,1.87809291841776
"12",13,19,1.126379911926,0.32515787268013,0.582016937071087,0.649941156767406,0.893465784479903,1.09525082172059,1.32542766993516,1.70904819152701,1.84745440059476
"13",14,20,1.02146485652042,0.307983242328405,0.509911576059109,0.57285674052142,0.800439334624949,0.990683700592687,1.20900882344963,1.57511916708042,1.7077365814381
"14",15,21,1.23742979833456,0.343201275975563,0.658879251924941,0.731947178053122,0.992010874864573,1.20584954841623,1.44848608310508,1.85067804961711,1.99526845837987
"15",16,22,1.1760901089094,0.326188707095298,0.626218450693104,0.695664382343962,0.94283665984852,1.14607529949086,1.37668428344427,1.75893949851525,1.89636252632493
"16",17,23,0.963541414636152,0.290518667483307,0.480996402567396,0.540372182774973,0.755049421320473,0.934505742642721,1.14045046642381,1.48580006525055,1.61089724330803
