"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-01-13",1,1,0,0
"2","2020-03-11",1,2,0,0
"3","2020-03-13",2,4,0,0
"4","2020-03-14",2,6,0,0
"5","2020-03-16",2,8,0,0
"6","2020-03-17",1,9,0,0
"7","2020-03-18",2,11,0,0
"8","2020-03-19",2,13,1.85714285714286,7.71428571428571
"9","2020-03-20",3,16,2.14285714285714,9.85714285714286
"10","2020-03-21",4,20,2.57142857142857,12.4285714285714
"11","2020-03-22",3,23,2.71428571428571,15.1428571428571
"12","2020-03-23",1,24,2.57142857142857,17.7142857142857
"13","2020-03-24",3,27,2.71428571428571,20.4285714285714
"14","2020-03-26",1,28,2.71428571428571,23.1428571428571
"15","2020-03-27",7,35,3.42857142857143,26.5714285714286
"16","2020-03-28",2,37,3.42857142857143,30
"17","2020-03-29",3,40,3.42857142857143,33.4285714285714
"18","2020-03-30",4,44,3.42857142857143,36.8571428571429
"19","2020-04-02",3,47,3.42857142857143,40.2857142857143
"20","2020-04-03",2,49,3.57142857142857,43.8571428571429
"21","2020-04-04",1,50,3.28571428571429,47.1428571428571
"22","2020-04-05",1,51,3.28571428571429,50.4285714285714
"23","2020-04-06",6,57,3.14285714285714,53.5714285714286
"24","2020-04-07",4,61,3.42857142857143,57
"25","2020-04-08",7,68,4,61
"26","2020-04-09",1,69,3.57142857142857,64.5714285714286
"27","2020-04-10",16,85,5.42857142857143,70
"28","2020-04-11",5,90,5.85714285714286,75.8571428571429
"29","2020-04-12",12,102,7.42857142857143,83.2857142857143
"30","2020-04-13",20,122,10.1428571428571,93.4285714285714
"31","2020-04-14",11,133,10.8571428571429,104.285714285714
"32","2020-04-15",5,138,11,115.285714285714
"33","2020-04-16",11,149,11.5714285714286,126.857142857143
"34","2020-04-17",8,157,12.5714285714286,139.428571428571
"35","2020-04-18",4,161,10.8571428571429,150.285714285714
"36","2020-04-19",2,163,10.4285714285714,160.714285714286
"37","2020-04-20",7,170,9.71428571428571,170.428571428571
"38","2020-04-21",14,184,8.85714285714286,179.285714285714
"39","2020-04-22",10,194,8.71428571428571,188
"40","2020-04-23",5,199,8.71428571428571,196.714285714286
"41","2020-04-24",5,204,7.85714285714286,204.571428571429
"42","2020-04-25",3,207,7.14285714285714,211.714285714286
"43","2020-04-26",4,211,7.14285714285714,218.857142857143
"44","2020-04-27",14,225,8.85714285714286,227.714285714286
"45","2020-04-28",21,246,10.8571428571429,238.571428571429
"46","2020-04-29",20,266,11.7142857142857,250.285714285714
"47","2020-04-30",21,287,13.2857142857143,263.571428571429
"48","2020-05-01",22,309,15.7142857142857,279.285714285714
"49","2020-05-02",21,330,18,297.285714285714
"50","2020-05-03",9,339,18.8571428571429,316.142857142857
"51","2020-05-04",25,364,21.8571428571429,338
"52","2020-05-05",12,376,21.5714285714286,359.571428571429
"53","2020-05-06",18,394,21.1428571428571,380.714285714286
"54","2020-05-07",20,414,21.1428571428571,401.857142857143
"55","2020-05-08",12,426,19.8571428571429,421.714285714286
"56","2020-05-09",21,447,19.7142857142857,441.428571428571
"57","2020-05-10",15,462,18.8571428571429,460.285714285714
"58","2020-05-11",26,488,21.2857142857143,481.571428571429
"59","2020-05-12",26,514,21.4285714285714,503
"60","2020-05-13",35,549,24.7142857142857,527.714285714286
"61","2020-05-14",30,579,26.4285714285714,554.142857142857
"62","2020-05-15",57,636,31.7142857142857,585.857142857143
"63","2020-05-16",21,657,33,618.857142857143
"64","2020-05-17",10,667,31.4285714285714,650.285714285714
"65","2020-05-18",35,702,34.2857142857143,684.571428571429
"66","2020-05-19",28,730,34.5714285714286,719.142857142857
"67","2020-05-20",38,768,36.2857142857143,755.428571428571
"68","2020-05-21",22,790,34.4285714285714,789.857142857143
"69","2020-05-22",32,822,34.7142857142857,824.571428571429
"70","2020-05-23",20,842,29.4285714285714,854
"71","2020-05-24",21,863,29.4285714285714,883.428571428571
"72","2020-05-25",57,920,36.1428571428571,919.571428571429
"73","2020-05-26",86,1006,43.4285714285714,963
"74","2020-05-27",40,1046,45.1428571428571,1008.14285714286
"75","2020-05-28",38,1084,45.1428571428571,1053.28571428571
"76","2020-05-29",50,1134,49.1428571428571,1102.42857142857
"77","2020-05-30",31,1165,49,1151.42857142857
"78","2020-05-31",14,1179,48.1428571428571,1199.57142857143
"79","2020-06-01",57,1236,53.2857142857143,1252.85714285714
"80","2020-06-02",65,1301,54.4285714285714,1307.28571428571
"81","2020-06-03",63,1364,51.1428571428571,1358.42857142857
