"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",1,1,0,0
"2","2020-03-19",1,2,0,0
"3","2020-03-23",2,4,0,0
"4","2020-03-24",1,5,0,0
"5","2020-03-25",1,6,0,0
"6","2020-03-26",3,9,0,0
"7","2020-03-28",1,10,0,0
"8","2020-03-30",1,11,1.57142857142857,6.85714285714286
"9","2020-03-31",2,13,1.71428571428571,8.57142857142857
"10","2020-04-04",1,14,1.71428571428571,10.2857142857143
"11","2020-04-08",1,15,1.57142857142857,11.8571428571429
"12","2020-04-13",2,17,1.71428571428571,13.5714285714286
"13","2020-04-14",1,18,1.71428571428571,15.2857142857143
"14","2020-04-15",1,19,1.42857142857143,16.7142857142857
"15","2020-04-16",2,21,1.57142857142857,18.2857142857143
"16","2020-04-18",1,22,1.57142857142857,19.8571428571429
"17","2020-04-20",2,24,1.57142857142857,21.4285714285714
"18","2020-04-21",3,27,1.85714285714286,23.2857142857143
"19","2020-04-22",2,29,2,25.2857142857143
"20","2020-04-23",2,31,2,27.2857142857143
"21","2020-04-24",3,34,2.28571428571429,29.5714285714286
"22","2020-04-25",4,38,2.71428571428571,32.2857142857143
"23","2020-04-26",3,41,2.85714285714286,35.1428571428571
"24","2020-04-27",1,42,2.85714285714286,38
"25","2020-04-28",8,50,3.71428571428571,41.7142857142857
"26","2020-04-30",1,51,3.42857142857143,45.1428571428571
"27","2020-05-01",6,57,4,49.1428571428571
"28","2020-05-02",2,59,4,53.1428571428571
"29","2020-05-03",1,60,3.71428571428571,56.8571428571429
"30","2020-05-04",6,66,4,60.8571428571429
"31","2020-05-05",11,77,5.14285714285714,66
"32","2020-05-06",4,81,5.57142857142857,71.5714285714286
"33","2020-05-07",8,89,5.57142857142857,77.1428571428571
"34","2020-05-08",7,96,6.42857142857143,83.5714285714286
"35","2020-05-09",6,102,6.42857142857143,90
"36","2020-05-10",16,118,8.42857142857143,98.4285714285714
"37","2020-05-11",12,130,10,108.428571428571
"38","2020-05-12",19,149,11.8571428571429,120.285714285714
"39","2020-05-13",16,165,12.5714285714286,132.857142857143
"40","2020-05-14",33,198,16.7142857142857,149.571428571429
"41","2020-05-15",22,220,18.7142857142857,168.285714285714
"42","2020-05-16",23,243,21,189.285714285714
"43","2020-05-17",4,247,20.7142857142857,210
"44","2020-05-18",55,302,26.2857142857143,236.285714285714
"45","2020-05-19",34,336,29.4285714285714,265.714285714286
"46","2020-05-20",27,363,30.5714285714286,296.285714285714
"47","2020-05-21",36,399,33.4285714285714,329.714285714286
"48","2020-05-22",30,429,33,362.714285714286
"49","2020-05-23",29,458,34,396.714285714286
"50","2020-05-24",14,472,32.7142857142857,429.428571428571
"51","2020-05-25",38,510,37.5714285714286,467
"52","2020-05-26",30,540,34,501
"53","2020-05-27",30,570,33.4285714285714,534.428571428571
"54","2020-05-28",48,618,36.4285714285714,570.857142857143
"55","2020-05-29",38,656,36.7142857142857,607.571428571429
"56","2020-05-30",38,694,37.8571428571429,645.428571428571
"57","2020-05-31",16,710,36,681.428571428571
"58","2020-06-01",58,768,42.2857142857143,723.714285714286
"59","2020-06-02",58,826,45.1428571428571,768.857142857143
"60","2020-06-03",60,886,49.4285714285714,818.285714285714
"61","2020-06-04",86,972,57.4285714285714,875.714285714286
"62","2020-06-05",58,1030,58.8571428571429,934.571428571429
"63","2020-06-06",48,1078,60.2857142857143,994.857142857143
"64","2020-06-07",13,1091,56.7142857142857,1051.57142857143
"65","2020-06-08",58,1149,62.7142857142857,1114.28571428571
"66","2020-06-09",53,1202,62,1176.28571428571
"67","2020-06-10",49,1251,60.7142857142857,1237
"68","2020-06-11",45,1296,58.5714285714286,1295.57142857143
"69","2020-06-12",37,1333,51.5714285714286,1347.14285714286
"70","2020-06-13",42,1375,49.2857142857143,1396.42857142857
"71","2020-06-14",24,1399,45.8571428571429,1442.28571428571
"72","2020-06-15",60,1459,52.5714285714286,1494.85714285714
"73","2020-06-16",41,1500,50.1428571428571,1545
"74","2020-06-17",50,1550,49.7142857142857,1594.71428571429
"75","2020-06-18",58,1608,51,1645.71428571429
"76","2020-06-19",44,1652,50.8571428571429,1696.57142857143
"77","2020-06-20",29,1681,49.7142857142857,1746.28571428571
"78","2020-06-21",8,1689,44.8571428571429,1791.14285714286
"79","2020-06-22",65,1754,50.7142857142857,1841.85714285714
"80","2020-06-23",51,1805,49.4285714285714,1891.28571428571
"81","2020-06-24",44,1849,49.8571428571429,1941.14285714286
"82","2020-06-25",47,1896,49.4285714285714,1990.57142857143
"83","2020-06-26",43,1939,47.2857142857143,2037.85714285714
"84","2020-06-27",27,1966,44.8571428571429,2082.71428571429
"85","2020-06-28",12,1978,42.4285714285714,2125.14285714286
"86","2020-06-29",50,2028,48.4285714285714,2173.57142857143
"87","2020-06-30",47,2075,45.8571428571429,2219.42857142857
"88","2020-07-01",56,2131,46.5714285714286,2266
"89","2020-07-02",49,2180,47.2857142857143,2313.28571428571
"90","2020-07-03",55,2235,48.4285714285714,2361.71428571429
"91","2020-07-04",15,2250,44.4285714285714,2406.14285714286
"92","2020-07-05",7,2257,41.5714285714286,2447.71428571429
"93","2020-07-06",20,2277,42.7142857142857,2490.42857142857
"94","2020-07-07",25,2302,39.1428571428571,2529.57142857143
"95","2020-07-08",15,2317,34.5714285714286,2564.14285714286
"96","2020-07-09",4,2321,27.1428571428571,2591.28571428571
"97","2020-07-10",1,2322,20.2857142857143,2611.57142857143
