"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-16",1,1,0,0
"2","2020-04-23",3,4,0,0
"3","2020-04-29",1,5,0,0
"4","2020-05-04",1,6,0,0
"5","2020-05-08",4,10,0,0
"6","2020-05-09",1,11,0,0
"7","2020-05-10",1,12,0,0
"8","2020-05-11",1,13,1.85714285714286,8.85714285714286
"9","2020-05-12",1,14,1.85714285714286,10.7142857142857
"10","2020-05-13",1,15,1.57142857142857,12.2857142857143
"11","2020-05-14",1,16,1.57142857142857,13.8571428571429
"12","2020-05-15",2,18,1.71428571428571,15.5714285714286
"13","2020-05-17",3,21,1.57142857142857,17.1428571428571
"14","2020-05-18",1,22,1.57142857142857,18.7142857142857
"15","2020-05-19",3,25,1.85714285714286,20.5714285714286
"16","2020-05-20",2,27,2,22.5714285714286
"17","2020-05-21",1,28,2,24.5714285714286
"18","2020-05-22",1,29,2,26.5714285714286
"19","2020-05-23",2,31,2.14285714285714,28.7142857142857
"20","2020-05-24",5,36,2.57142857142857,31.2857142857143
"21","2020-05-25",6,42,3,34.2857142857143
"22","2020-05-27",3,45,3.28571428571429,37.5714285714286
"23","2020-05-28",2,47,3.14285714285714,40.7142857142857
"24","2020-05-29",5,52,3.57142857142857,44.2857142857143
"25","2020-05-30",3,55,3.85714285714286,48.1428571428571
"26","2020-05-31",8,63,4.85714285714286,53
"27","2020-06-01",6,69,5.42857142857143,58.4285714285714
"28","2020-06-02",3,72,5.14285714285714,63.5714285714286
"29","2020-06-03",3,75,4.71428571428571,68.2857142857143
"30","2020-06-04",3,78,4.71428571428571,73
"31","2020-06-05",1,79,4.57142857142857,77.5714285714286
"32","2020-06-06",6,85,4.71428571428571,82.2857142857143
"33","2020-06-07",2,87,4.57142857142857,86.8571428571429
"34","2020-06-08",5,92,4.14285714285714,91
"35","2020-06-09",8,100,4.42857142857143,95.4285714285714
"36","2020-06-10",6,106,4.85714285714286,100.285714285714
"37","2020-06-11",3,109,4.85714285714286,105.142857142857
"38","2020-06-12",5,114,5.14285714285714,110.285714285714
"39","2020-06-13",6,120,5.85714285714286,116.142857142857
"40","2020-06-14",5,125,5.71428571428571,121.857142857143
"41","2020-06-15",5,130,6.14285714285714,128
"42","2020-06-16",4,134,6,134
"43","2020-06-17",2,136,5.14285714285714,139.142857142857
"44","2020-06-18",1,137,4.42857142857143,143.571428571429
"45","2020-06-19",1,138,4.14285714285714,147.714285714286
"46","2020-06-20",2,140,3.71428571428571,151.428571428571
"47","2020-06-21",3,143,3.28571428571429,154.714285714286
"48","2020-06-22",3,146,3,157.714285714286
"49","2020-06-23",4,150,2.85714285714286,160.571428571429
"50","2020-06-24",1,151,2.42857142857143,163
"51","2020-06-25",4,155,2.71428571428571,165.714285714286
"52","2020-06-26",1,156,2.71428571428571,168.428571428571
"53","2020-06-27",4,160,3.14285714285714,171.571428571429
"54","2020-06-28",2,162,3.14285714285714,174.714285714286
"55","2020-06-30",2,164,3,177.714285714286
"56","2020-07-01",1,165,2.71428571428571,180.428571428571
"57","2020-07-03",3,168,2.57142857142857,183
"58","2020-07-04",4,172,3,186
"59","2020-07-05",5,177,3.14285714285714,189.142857142857
"60","2020-07-06",1,178,3.14285714285714,192.285714285714
"61","2020-07-07",1,179,2.71428571428571,195
"62","2020-07-08",1,180,2.57142857142857,197.571428571429
"63","2020-07-09",2,182,2.57142857142857,200.142857142857
"64","2020-07-11",1,183,2.57142857142857,202.714285714286
"65","9999-99-99",2139,2322,307.714285714286,510.428571428571
