"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-29",1,1,0,0
"2","2020-03-18",1,2,0,0
"3","2020-03-23",1,3,0,0
"4","2020-03-25",2,5,0,0
"5","2020-03-27",2,7,0,0
"6","2020-03-28",1,8,0,0
"7","2020-03-30",1,9,0,0
"8","2020-03-31",1,10,1.42857142857143,6.42857142857143
"9","2020-04-01",3,13,1.71428571428571,8.14285714285714
"10","2020-04-02",1,14,1.71428571428571,9.85714285714286
"11","2020-04-03",2,16,1.85714285714286,11.7142857142857
"12","2020-04-05",1,17,1.71428571428571,13.4285714285714
"13","2020-04-08",2,19,1.71428571428571,15.1428571428571
"14","2020-04-09",1,20,1.71428571428571,16.8571428571429
"15","2020-04-10",1,21,1.71428571428571,18.5714285714286
"16","2020-04-11",1,22,1.71428571428571,20.2857142857143
"17","2020-04-13",3,25,1.71428571428571,22
"18","2020-04-15",2,27,1.85714285714286,23.8571428571429
"19","2020-04-16",1,28,1.71428571428571,25.5714285714286
"20","2020-04-17",6,34,2.42857142857143,28
"21","2020-04-18",3,37,2.57142857142857,30.5714285714286
"22","2020-04-19",1,38,2.57142857142857,33.1428571428571
"23","2020-04-20",2,40,2.71428571428571,35.8571428571429
"24","2020-04-21",3,43,3,38.8571428571429
"25","2020-04-22",3,46,3,41.8571428571429
"26","2020-04-23",5,51,3.42857142857143,45.2857142857143
"27","2020-04-24",3,54,3.71428571428571,49
"28","2020-04-25",4,58,3.42857142857143,52.4285714285714
"29","2020-04-26",5,63,3.71428571428571,56.1428571428571
"30","2020-04-27",6,69,4.42857142857143,60.5714285714286
"31","2020-04-28",1,70,4.28571428571429,64.8571428571429
"32","2020-04-29",7,77,4.85714285714286,69.7142857142857
"33","2020-04-30",7,84,5.42857142857143,75.1428571428571
"34","2020-05-01",2,86,5,80.1428571428571
"35","2020-05-02",3,89,5,85.1428571428571
"36","2020-05-03",2,91,4.71428571428571,89.8571428571429
"37","2020-05-04",7,98,5,94.8571428571429
"38","2020-05-05",12,110,5.85714285714286,100.714285714286
"39","2020-05-06",19,129,8.42857142857143,109.142857142857
"40","2020-05-07",14,143,9.42857142857143,118.571428571429
"41","2020-05-08",13,156,10.2857142857143,128.857142857143
"42","2020-05-09",9,165,11.2857142857143,140.142857142857
"43","2020-05-10",11,176,12.4285714285714,152.571428571429
"44","2020-05-11",11,187,13.7142857142857,166.285714285714
"45","2020-05-12",18,205,15.2857142857143,181.571428571429
"46","2020-05-13",34,239,18.4285714285714,200
"47","2020-05-14",27,266,19.5714285714286,219.571428571429
"48","2020-05-15",38,304,23,242.571428571429
"49","2020-05-16",12,316,22.8571428571429,265.428571428571
"50","2020-05-17",14,330,23.5714285714286,289
"51","2020-05-18",36,366,27.1428571428571,316.142857142857
"52","2020-05-19",21,387,28.5714285714286,344.714285714286
"53","2020-05-20",34,421,30.8571428571429,375.571428571429
"54","2020-05-21",45,466,32.4285714285714,408
"55","2020-05-22",48,514,35.4285714285714,443.428571428571
"56","2020-05-23",20,534,32.8571428571429,476.285714285714
"57","2020-05-24",28,562,35.1428571428571,511.428571428571
"58","2020-05-25",83,645,45,556.428571428571
"59","2020-05-26",70,715,49.8571428571429,606.285714285714
"60","2020-05-27",61,776,55.5714285714286,661.857142857143
"61","2020-05-28",82,858,62.4285714285714,724.285714285714
"62","2020-05-29",62,920,64.8571428571429,789.142857142857
"63","2020-05-30",29,949,62.1428571428571,851.285714285714
"64","2020-05-31",42,991,65.2857142857143,916.571428571429
"65","2020-06-01",78,1069,72.4285714285714,989
"66","2020-06-02",84,1153,72.5714285714286,1061.57142857143
"67","2020-06-03",58,1211,70.8571428571429,1132.42857142857
"68","2020-06-04",58,1269,70.4285714285714,1202.85714285714
"69","2020-06-05",59,1328,67.1428571428571,1270
"70","2020-06-06",24,1352,61.7142857142857,1331.71428571429
"71","2020-06-07",31,1383,62,1393.71428571429
"72","2020-06-08",71,1454,66.1428571428571,1459.85714285714
"73","2020-06-09",63,1517,64,1523.85714285714
"74","2020-06-10",51,1568,59.2857142857143,1583.14285714286
"75","2020-06-11",48,1616,57.8571428571429,1641
"76","2020-06-12",50,1666,56.7142857142857,1697.71428571429
"77","2020-06-13",24,1690,51.7142857142857,1749.42857142857
"78","2020-06-14",26,1716,52,1801.42857142857
"79","2020-06-15",40,1756,53.2857142857143,1854.71428571429
"80","2020-06-16",37,1793,48.4285714285714,1903.14285714286
"81","2020-06-17",44,1837,45.7142857142857,1948.85714285714
"82","2020-06-18",58,1895,46.7142857142857,1995.57142857143
"83","2020-06-19",38,1933,45.2857142857143,2040.85714285714
"84","2020-06-20",22,1955,41.2857142857143,2082.14285714286
"85","2020-06-21",16,1971,40.1428571428571,2122.28571428571
"86","2020-06-22",42,2013,42.4285714285714,2164.71428571429
"87","2020-06-23",41,2054,42.5714285714286,2207.28571428571
"88","2020-06-24",41,2095,43.1428571428571,2250.42857142857
"89","2020-06-25",41,2136,42.7142857142857,2293.14285714286
"90","2020-06-26",30,2166,38.7142857142857,2331.85714285714
"91","2020-06-27",16,2182,35.5714285714286,2367.42857142857
"92","2020-06-28",20,2202,35.2857142857143,2402.71428571429
"93","2020-06-29",39,2241,38.5714285714286,2441.28571428571
"94","2020-06-30",25,2266,36.1428571428571,2477.42857142857
"95","2020-07-01",19,2285,33,2510.42857142857
"96","2020-07-02",19,2304,29.8571428571429,2540.28571428571
"97","2020-07-03",22,2326,27.1428571428571,2567.42857142857
"98","2020-07-04",18,2344,25.4285714285714,2592.85714285714
"99","2020-07-05",11,2355,24.7142857142857,2617.57142857143
"100","2020-07-06",19,2374,24.5714285714286,2642.14285714286
"101","2020-07-07",16,2390,21.2857142857143,2663.42857142857
"102","2020-07-08",10,2400,19.1428571428571,2682.57142857143
"103","2020-07-09",9,2409,17.7142857142857,2700.28571428571
"104","2020-07-10",2,2411,15.2857142857143,2715.57142857143
