"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-23",1,1,0,0
"2","2020-04-30",1,2,0,0
"3","2020-05-01",1,3,0,0
"4","2020-05-02",1,4,0,0
"5","2020-05-10",3,7,0,0
"6","2020-05-12",3,10,0,0
"7","2020-05-13",1,11,0,0
"8","2020-05-18",1,12,1.71428571428571,7.14285714285714
"9","2020-05-19",4,16,2.14285714285714,9.28571428571429
"10","2020-05-20",2,18,2.28571428571429,11.5714285714286
"11","2020-05-21",1,19,2.28571428571429,13.8571428571429
"12","2020-05-22",2,21,2.42857142857143,16.2857142857143
"13","2020-05-23",1,22,2.14285714285714,18.4285714285714
"14","2020-05-24",2,24,2,20.4285714285714
"15","2020-05-25",3,27,2.28571428571429,22.7142857142857
"16","2020-05-27",7,34,3.14285714285714,25.8571428571429
"17","2020-05-28",6,40,3.42857142857143,29.2857142857143
"18","2020-05-29",3,43,3.57142857142857,32.8571428571429
"19","2020-05-30",6,49,4.28571428571429,37.1428571428571
"20","2020-05-31",5,54,4.71428571428571,41.8571428571429
"21","2020-06-01",8,62,5.71428571428571,47.5714285714286
"22","2020-06-02",10,72,6.85714285714286,54.4285714285714
"23","2020-06-03",7,79,7.42857142857143,61.8571428571429
"24","2020-06-04",6,85,7.28571428571429,69.1428571428571
"25","2020-06-05",8,93,7.57142857142857,76.7142857142857
"26","2020-06-06",6,99,8,84.7142857142857
"27","2020-06-07",12,111,8.85714285714286,93.5714285714286
"28","2020-06-08",13,124,10,103.571428571429
"29","2020-06-09",12,136,10.5714285714286,114.142857142857
"30","2020-06-10",7,143,10.1428571428571,124.285714285714
"31","2020-06-11",5,148,9.85714285714286,134.142857142857
"32","2020-06-12",7,155,10,144.142857142857
"33","2020-06-13",7,162,9.85714285714286,154
"34","2020-06-14",4,166,9.57142857142857,163.571428571429
"35","2020-06-15",5,171,8.57142857142857,172.142857142857
"36","2020-06-16",11,182,8.28571428571429,180.428571428571
"37","2020-06-17",5,187,7.28571428571429,187.714285714286
"38","2020-06-18",5,192,7,194.714285714286
"39","2020-06-19",6,198,7.14285714285714,201.857142857143
"40","2020-06-20",9,207,7.42857142857143,209.285714285714
"41","2020-06-21",5,212,7.14285714285714,216.428571428571
"42","2020-06-22",5,217,7.28571428571429,223.714285714286
"43","2020-06-23",5,222,7.28571428571429,231
"44","2020-06-24",11,233,7.28571428571429,238.285714285714
"45","2020-06-25",6,239,7.42857142857143,245.714285714286
"46","2020-06-26",6,245,7.57142857142857,253.285714285714
"47","2020-06-27",8,253,7.85714285714286,261.142857142857
"48","2020-06-28",12,265,8.28571428571429,269.428571428571
"49","2020-06-29",7,272,8.57142857142857,278
"50","2020-06-30",8,280,9,287
"51","2020-07-02",5,285,9,296
"52","2020-07-03",5,290,8.14285714285714,304.142857142857
"53","2020-07-04",2,292,7.57142857142857,311.714285714286
"54","2020-07-05",9,301,8,319.714285714286
"55","2020-07-06",1,302,7,326.714285714286
"56","2020-07-07",4,306,5.85714285714286,332.571428571429
"57","2020-07-08",4,310,5.42857142857143,338
"58","2020-07-09",3,313,4.71428571428571,342.714285714286
"59","2020-07-10",6,319,4.85714285714286,347.571428571429
"60","2020-07-11",5,324,4.85714285714286,352.428571428571
"61","9999-99-99",2087,2411,302.714285714286,655.142857142857
