"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.56416116861658,0.494631192041909,0.750076078691326,0.848620891538139,1.20845320780179,1.51234279507715,1.86351753157316,2.45654896721925,2.67233861321565
"2",3,9,1.70008492359745,0.490772244142105,0.878458688331019,0.980979108510901,1.34853941717335,1.65310068996261,2.00051472431063,2.57952670617891,2.78842807851074
"3",4,10,1.46430444211213,0.422708281914501,0.756627472945987,0.844929595147589,1.16151389352465,1.42383633309841,1.7230683930307,2.22177866645151,2.40170803540417
"4",5,11,1.34164700791646,0.387300130589013,0.693248586831539,0.7741540834191,1.06421970396606,1.3045687092971,1.57873560132794,2.03567141802677,2.20052900675568
"5",6,12,1.16850721936967,0.352318182860972,0.583314593802985,0.655320868545685,0.915664533347562,1.13329504080816,1.38304859874959,1.80186142122473,1.95356943653421
"6",7,13,1.27495375287976,0.368047446214727,0.658787208739852,0.735670894161028,1.01131735654316,1.23971861599486,1.50025667544534,1.93447821873345,2.09114073890486
"7",8,14,1.22262336528876,0.352940964533497,0.631747333845975,0.705475333777833,0.969807906395755,1.18883445213225,1.43867874515987,1.85507769558191,2.00531001357303
"8",9,15,1.1849554971246,0.342067187621308,0.612283796701198,0.683740306769304,0.939929043125341,1.15220758838721,1.39435441532796,1.7979245083819,1.94352831091294
"9",10,16,0.968058309736726,0.306126916662081,0.464221587570857,0.52521090687622,0.747910888732261,0.935987952724694,1.15332976420518,1.52035652636426,1.6539085951365
"10",11,17,1.22557748029033,0.353793744079184,0.633273768174895,0.707179910449536,0.97215116611601,1.19170692601843,1.4421548953662,1.8595599531644,2.01015526400916
"11",12,18,1.17778793047652,0.339998089354456,0.608580210422181,0.679604493879587,0.93424359411277,1.14523810750609,1.38592023511852,1.78704921072447,1.93177228401176
"12",13,19,1.14361979684719,0.330134598780154,0.590925037181052,0.659888875676079,0.907140786264262,1.11201425821869,1.34571409395525,1.73520614572589,1.87573074051007
"13",14,20,1.50308803999097,0.375772009997743,0.859144686700741,0.942807908384259,1.2355433778364,1.47189234434278,1.73667647616929,2.16981371878655,2.32417044328058
"14",15,21,1.4827801345264,0.349494629377439,0.878789481415581,0.958395311424374,1.23453963443572,1.45541348451956,1.70122723880705,2.10054176736532,2.24218159929536
