"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-12",1,1,0,0
"2","2020-03-17",3,4,0,0
"3","2020-03-18",1,5,0,0
"4","2020-03-19",2,7,0,0
"5","2020-03-20",4,11,0,0
"6","2020-03-21",1,12,0,0
"7","2020-03-23",2,14,0,0
"8","2020-03-24",5,19,2.71428571428571,10.4285714285714
"9","2020-03-25",5,24,3.28571428571429,13.7142857142857
"10","2020-03-26",7,31,3.85714285714286,17.5714285714286
"11","2020-03-27",9,40,5,22.5714285714286
"12","2020-03-28",5,45,5.42857142857143,28
"13","2020-03-29",15,60,7,35
"14","2020-03-30",18,78,9.42857142857143,44.4285714285714
"15","2020-03-31",29,107,13.2857142857143,57.7142857142857
"16","2020-04-01",40,147,18.2857142857143,76
"17","2020-04-02",17,164,20,96
"18","2020-04-03",24,188,22.4285714285714,118.428571428571
"19","2020-04-04",22,210,24.2857142857143,142.714285714286
"20","2020-04-05",15,225,25.7142857142857,168.428571428571
"21","2020-04-06",42,267,29.5714285714286,198
"22","2020-04-07",22,289,30.1428571428571,228.142857142857
"23","2020-04-08",33,322,30.7142857142857,258.857142857143
"24","2020-04-09",39,361,30.5714285714286,289.428571428571
"25","2020-04-10",22,383,31.2857142857143,320.714285714286
"26","2020-04-11",12,395,29.5714285714286,350.285714285714
"27","2020-04-12",21,416,29.4285714285714,379.714285714286
"28","2020-04-13",43,459,33.4285714285714,413.142857142857
"29","2020-04-14",51,510,34.7142857142857,447.857142857143
"30","2020-04-15",55,565,39.4285714285714,487.285714285714
"31","2020-04-16",51,616,42,529.285714285714
"32","2020-04-17",43,659,42.5714285714286,571.857142857143
"33","2020-04-18",26,685,43.1428571428571,615
"34","2020-04-19",24,709,44.8571428571429,659.857142857143
"35","2020-04-20",64,773,51,710.857142857143
"36","2020-04-21",54,827,52.5714285714286,763.428571428571
"37","2020-04-22",59,886,53.7142857142857,817.142857142857
"38","2020-04-23",45,931,52.2857142857143,869.428571428571
"39","2020-04-24",47,978,51.7142857142857,921.142857142857
"40","2020-04-25",25,1003,49.1428571428571,970.285714285714
"41","2020-04-26",37,1040,50.7142857142857,1021
"42","2020-04-27",54,1094,55,1076
"43","2020-04-28",52,1146,53.2857142857143,1129.28571428571
"44","2020-04-29",49,1195,52.5714285714286,1181.85714285714
"45","2020-04-30",42,1237,50.1428571428571,1232
"46","2020-05-01",47,1284,50.4285714285714,1282.42857142857
"47","2020-05-02",40,1324,49.4285714285714,1331.85714285714
"48","2020-05-03",35,1359,50.8571428571429,1382.71428571429
"49","2020-05-04",63,1422,54.5714285714286,1437.28571428571
"50","2020-05-05",56,1478,54.8571428571429,1492.14285714286
"51","2020-05-06",44,1522,53.7142857142857,1545.85714285714
"52","2020-05-07",41,1563,52.5714285714286,1598.42857142857
"53","2020-05-08",48,1611,53.4285714285714,1651.85714285714
"54","2020-05-09",26,1637,50.4285714285714,1702.28571428571
"55","2020-05-10",20,1657,47.5714285714286,1749.85714285714
