"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.95233578127952,0.447896546023997,1.17543367557256,1.27846676067169,1.63454511195984,1.91819316508886,2.23295358150156,2.74269990762136,2.92313580355561
"2",3,9,1.72083333095045,0.375516618927782,1.06522295416453,1.15312424861454,1.45491992184123,1.69359694025527,1.9570894319868,2.38147098501565,2.5311309635198
"3",4,10,1.86932960069577,0.359752649388613,1.23189998583421,1.31947730908829,1.61577670439325,1.84630279611071,2.09780252680705,2.49774338456328,2.6375564995335
"4",5,11,1.89953302168664,0.325767225650733,1.31548183719838,1.3972806591028,1.67085715347328,1.88094295649013,2.10795754131098,2.46520737483272,2.58919028949189
"5",6,12,1.55576079290448,0.262971570692606,1.08364439544542,1.14991343202514,1.37125489634065,1.54096937235581,1.72415312269396,2.01207044378834,2.11190491971964
"6",7,13,1.91145070476668,0.27306438639524,1.41410175407189,1.48554424168103,1.72088012842171,1.89846348167286,2.08787041598308,2.38166240181023,2.48258578494712
"7",8,14,2.00533821098491,0.248731592761111,1.54767769482273,1.61448593467715,1.83244273524633,1.99506385354849,2.16703741567947,2.43124000975941,2.52137563227624
"8",9,15,2.10642826741712,0.223280949784762,1.69163486590033,1.75310289291074,1.95183923103668,2.09854429746905,2.25242506068382,2.48664811609053,2.56601923001094
"9",10,16,2.19607319884827,0.197213195076025,1.82658006677536,1.88206238738417,2.06003443505294,2.19017260581235,2.32568079315636,2.53021228812804,2.59909548637548
"10",11,17,1.73612145942241,0.149978051176925,1.45462689339117,1.49701178074441,1.63274758336465,1.73180466440854,1.83479031068119,1.98995667120847,2.04214569526426
"11",12,18,1.60002746159616,0.131079357024663,1.35343374294139,1.39069637686648,1.50977373277731,1.59644940891268,1.68638127709064,1.82156402001065,1.86695322954197
"12",13,19,1.53907214669783,0.11945516557595,1.31384565477508,1.34799629450234,1.456905449278,1.53598274606657,1.61787148428477,1.74068654234401,1.78185410800816
"13",14,20,1.34646453775194,0.10450591588211,1.14942407737656,1.17930092586152,1.27458061437813,1.34376176101608,1.41540251046933,1.52284784416178,1.55886348344893
"14",15,21,1.4264775813427,0.10348756065785,1.2308475701608,1.26062958765498,1.35537961356936,1.42397577113081,1.49484859717933,1.60085970015589,1.63632422615152
"15",16,22,1.23585070417099,0.0913567128247386,1.06327446279243,1.08951840207553,1.17306633731635,1.23360034039889,1.296182205271,1.38985941032582,1.42121469234509
"16",17,23,1.12487900223491,0.085032859855773,0.964386799150741,0.988760908502305,1.06641749601017,1.12273710262391,1.18100588096937,1.2683035183243,1.29754256328437
"17",18,24,1.24927624426542,0.0890072470238863,1.08090703905887,1.10656521738494,1.18814549674187,1.24716304671091,1.30810361415794,1.39919576152724,1.42965380509232
"18",19,25,1.15736575512898,0.0830940186399632,1.00022647938533,1.02416296762649,1.10028877671121,1.15537776275703,1.2122758331353,1.29734993876573,1.32580189024126
"19",20,26,1.06052551560154,0.0781829782862357,0.912819674443738,0.935285098106108,1.00679728935357,1.05860489371119,1.11216028876701,1.19231752603805,1.219145341417
"20",21,27,1.09370333427703,0.0793455793684115,0.943710654186741,0.96654500662306,1.03919137739031,1.09178515609725,1.14612449319776,1.22740491310223,1.25459613632038
"21",22,28,1.08150843941083,0.0782552042167111,0.933562525283119,0.956088658795383,1.02774802713884,1.07962157684328,1.13321218612703,1.21336464708518,1.24017652705967
"22",23,29,1.22607810103682,0.0826621687088219,1.06940461434383,1.09335223267223,1.16935722095967,1.22422090816403,1.28077462222356,1.36513916512089,1.39330525441757
"23",24,30,1.26907624278411,0.0814112789326185,1.11451570679608,1.13820074911506,1.21325771299607,1.26733582262769,1.32299767780184,1.40588858764177,1.43352692789021
"24",25,31,1.23146026388988,0.0771170330753971,1.08493837267201,1.10741827421745,1.17860557516679,1.22985088653576,1.28256068923024,1.36099209130198,1.38712766002829
"25",26,32,1.25672009377753,0.0755089923184903,1.11306804765625,1.13515111443173,1.20499943342491,1.25520811918518,1.30679265016076,1.38344664648161,1.40896417435086
"26",27,33,1.23224848550989,0.072235685511461,1.0947215568142,1.11588699567262,1.18278755721876,1.23083726301798,1.28017112674449,1.35342386375812,1.37779492658625
