"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-15",2,2,0,0
"2","2020-03-18",6,8,0,0
"3","2020-03-19",4,12,0,0
"4","2020-03-20",1,13,0,0
"5","2020-03-21",1,14,0,0
"6","2020-03-23",3,17,0,0
"7","2020-03-25",1,18,0,0
"8","2020-03-26",1,19,2.71428571428571,14.7142857142857
"9","2020-03-29",1,20,2.57142857142857,17.2857142857143
"10","2020-03-30",1,21,1.85714285714286,19.1428571428571
"11","2020-03-31",1,22,1.42857142857143,20.5714285714286
"12","2020-04-01",5,27,2,22.5714285714286
"13","2020-04-02",1,28,2,24.5714285714286
"14","2020-04-03",1,29,1.71428571428571,26.2857142857143
"15","2020-04-05",1,30,1.71428571428571,28
"16","2020-04-06",5,35,2.28571428571429,30.2857142857143
"17","2020-04-07",4,39,2.71428571428571,33
"18","2020-04-08",4,43,3.14285714285714,36.1428571428571
"19","2020-04-09",6,49,3.85714285714286,40
"20","2020-04-10",5,54,3.85714285714286,43.8571428571429
"21","2020-04-11",5,59,4.42857142857143,48.2857142857143
"22","2020-04-12",6,65,5.14285714285714,53.4285714285714
"23","2020-04-13",6,71,5.85714285714286,59.2857142857143
"24","2020-04-14",6,77,6,65.2857142857143
"25","2020-04-15",12,89,7.14285714285714,72.4285714285714
"26","2020-04-16",20,109,9.42857142857143,81.8571428571429
"27","2020-04-17",16,125,10.8571428571429,92.7142857142857
"28","2020-04-18",5,130,10.8571428571429,103.571428571429
"29","2020-04-19",10,140,11.5714285714286,115.142857142857
"30","2020-04-20",20,160,13.5714285714286,128.714285714286
"31","2020-04-21",17,177,15.1428571428571,143.857142857143
"32","2020-04-22",15,192,16.4285714285714,160.285714285714
"33","2020-04-23",25,217,18.2857142857143,178.571428571429
"34","2020-04-24",27,244,19.2857142857143,197.857142857143
"35","2020-04-25",19,263,19.7142857142857,217.571428571429
"36","2020-04-26",17,280,21.4285714285714,239
"37","2020-04-27",25,305,23.5714285714286,262.571428571429
"38","2020-04-28",39,344,26.2857142857143,288.857142857143
"39","2020-04-29",33,377,28.5714285714286,317.428571428571
"40","2020-04-30",24,401,29.8571428571429,347.285714285714
"41","2020-05-01",30,431,30.5714285714286,377.857142857143
"42","2020-05-02",40,471,32.4285714285714,410.285714285714
"43","2020-05-03",24,495,33.1428571428571,443.428571428571
"44","2020-05-04",35,530,35.7142857142857,479.142857142857
"45","2020-05-05",44,574,38.4285714285714,517.571428571429
"46","2020-05-06",36,610,38,555.571428571429
"47","2020-05-07",57,667,41.4285714285714,597
"48","2020-05-08",51,718,45.2857142857143,642.285714285714
"49","2020-05-09",27,745,44.8571428571429,687.142857142857
"50","2020-05-10",30,775,43.4285714285714,730.571428571429
"51","2020-05-11",65,840,49.2857142857143,779.857142857143
"52","2020-05-12",55,895,52.1428571428571,832
"53","2020-05-13",58,953,54.1428571428571,886.142857142857
"54","2020-05-14",65,1018,58.2857142857143,944.428571428571
"55","2020-05-15",101,1119,64.5714285714286,1009
"56","2020-05-16",65,1184,66.5714285714286,1075.57142857143
"57","2020-05-17",32,1216,67.2857142857143,1142.85714285714
"58","2020-05-18",72,1288,73.2857142857143,1216.14285714286
"59","2020-05-19",71,1359,74.1428571428571,1290.28571428571
"60","2020-05-20",73,1432,76.7142857142857,1367
"61","2020-05-21",65,1497,77.7142857142857,1444.71428571429
"62","2020-05-22",69,1566,78.2857142857143,1523
"63","2020-05-23",57,1623,72,1595
"64","2020-05-24",49,1672,69.7142857142857,1664.71428571429
"65","2020-05-25",88,1760,77.7142857142857,1742.42857142857
"66","2020-05-26",87,1847,79.8571428571429,1822.28571428571
"67","2020-05-27",86,1933,82,1904.28571428571
"68","2020-05-28",54,1987,79.2857142857143,1983.57142857143
"69","2020-05-29",78,2065,81.1428571428571,2064.71428571429
"70","2020-05-30",56,2121,79.2857142857143,2144
"71","2020-05-31",50,2171,78.2857142857143,2222.28571428571
"72","2020-06-01",93,2264,84.5714285714286,2306.85714285714
"73","2020-06-02",73,2337,82.4285714285714,2389.28571428571
"74","2020-06-03",69,2406,79.8571428571429,2469.14285714286
"75","2020-06-04",86,2492,79.8571428571429,2549
"76","2020-06-05",76,2568,83,2632
"77","2020-06-06",40,2608,77.5714285714286,2709.57142857143
"78","2020-06-07",45,2653,76,2785.57142857143
"79","2020-06-08",81,2734,80.4285714285714,2866
"80","2020-06-09",72,2806,77.4285714285714,2943.42857142857
"81","2020-06-10",70,2876,77,3020.42857142857
"82","2020-06-11",55,2931,75,3095.42857142857
"83","2020-06-12",43,2974,68.8571428571429,3164.28571428571
"84","2020-06-13",47,3021,64.7142857142857,3229
"85","2020-06-14",31,3052,63.4285714285714,3292.42857142857
"86","2020-06-15",95,3147,70.5714285714286,3363
"87","2020-06-16",83,3230,70.8571428571429,3433.85714285714
"88","2020-06-17",63,3293,69.5714285714286,3503.42857142857
"89","2020-06-18",58,3351,67.8571428571429,3571.28571428571
"90","2020-06-19",63,3414,69,3640.28571428571
"91","2020-06-20",33,3447,67.5714285714286,3707.85714285714
"92","2020-06-21",44,3491,67.1428571428571,3775
