"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-09",1,1,0,0
"2","2020-04-12",1,2,0,0
"3","2020-04-16",1,3,0,0
"4","2020-04-18",1,4,0,0
"5","2020-04-19",3,7,0,0
"6","2020-04-20",1,8,0,0
"7","2020-04-21",1,9,0,0
"8","2020-04-24",2,11,1.57142857142857,6.42857142857143
"9","2020-04-25",5,16,2.14285714285714,8.57142857142857
"10","2020-04-26",4,20,2.57142857142857,11.1428571428571
"11","2020-04-27",2,22,2.71428571428571,13.8571428571429
"12","2020-04-29",3,25,3,16.8571428571429
"13","2020-05-01",3,28,3,19.8571428571429
"14","2020-05-02",3,31,3.28571428571429,23.1428571428571
"15","2020-05-03",5,36,3.85714285714286,27
"16","2020-05-04",7,43,4.57142857142857,31.5714285714286
"17","2020-05-05",7,50,4.85714285714286,36.4285714285714
"18","2020-05-06",8,58,5.42857142857143,41.8571428571429
"19","2020-05-07",1,59,5.28571428571429,47.1428571428571
"20","2020-05-08",7,66,5.85714285714286,53
"21","2020-05-09",11,77,7,60
"22","2020-05-10",4,81,7.14285714285714,67.1428571428571
"23","2020-05-11",11,92,8,75.1428571428571
"24","2020-05-12",7,99,8,83.1428571428571
"25","2020-05-13",8,107,8.14285714285714,91.2857142857143
"26","2020-05-14",12,119,8.71428571428571,100
"27","2020-05-15",10,129,10,110
"28","2020-05-16",7,136,10,120
"29","2020-05-17",12,148,10.1428571428571,130.142857142857
"30","2020-05-18",10,158,11,141.142857142857
"31","2020-05-19",16,174,11.7142857142857,152.857142857143
"32","2020-05-20",12,186,12.4285714285714,165.285714285714
"33","2020-05-21",7,193,12.2857142857143,177.571428571429
"34","2020-05-22",9,202,11.8571428571429,189.428571428571
"35","2020-05-23",10,212,11.8571428571429,201.285714285714
"36","2020-05-24",9,221,12.1428571428571,213.428571428571
"37","2020-05-25",9,230,11.7142857142857,225.142857142857
"38","2020-05-26",11,241,11.8571428571429,237
"39","2020-05-27",8,249,10.7142857142857,247.714285714286
"40","2020-05-28",9,258,10.2857142857143,258
"41","2020-05-29",7,265,10.2857142857143,268.285714285714
"42","2020-05-30",18,283,11.5714285714286,279.857142857143
"43","2020-05-31",8,291,11.2857142857143,291.142857142857
"44","2020-06-01",15,306,12.1428571428571,303.285714285714
"45","2020-06-02",9,315,12.1428571428571,315.428571428571
"46","2020-06-03",14,329,12.5714285714286,328
"47","2020-06-04",6,335,12.2857142857143,340.285714285714
"48","2020-06-05",18,353,13.5714285714286,353.857142857143
"49","2020-06-06",6,359,13.4285714285714,367.285714285714
"50","2020-06-07",9,368,12.1428571428571,379.428571428571
"51","2020-06-08",13,381,12.8571428571429,392.285714285714
"52","2020-06-09",16,397,13,405.285714285714
"53","2020-06-10",14,411,13.7142857142857,419
"54","2020-06-11",10,421,13.1428571428571,432.142857142857
"55","2020-06-12",6,427,13.1428571428571,445.285714285714
"56","2020-06-13",12,439,12.2857142857143,457.571428571429
"57","2020-06-14",10,449,12.8571428571429,470.428571428571
"58","2020-06-15",13,462,13.4285714285714,483.857142857143
"59","2020-06-16",8,470,12.7142857142857,496.571428571429
"60","2020-06-17",6,476,11.2857142857143,507.857142857143
"61","2020-06-18",9,485,10.5714285714286,518.428571428571
"62","2020-06-19",7,492,10.1428571428571,528.571428571429
"63","2020-06-20",13,505,11.1428571428571,539.714285714286
"64","2020-06-21",11,516,11,550.714285714286
"65","2020-06-22",3,519,10,560.714285714286
"66","2020-06-23",7,526,9.14285714285714,569.857142857143
"67","2020-06-24",9,535,9.28571428571429,579.142857142857
"68","2020-06-25",6,541,9.28571428571429,588.428571428571
"69","2020-06-26",5,546,8.71428571428571,597.142857142857
"70","2020-06-27",11,557,9.28571428571429,606.428571428571
"71","2020-06-28",4,561,8,614.428571428571
"72","2020-06-29",10,571,7.85714285714286,622.285714285714
"73","2020-06-30",10,581,8.85714285714286,631.142857142857
"74","2020-07-01",8,589,9,640.142857142857
"75","2020-07-02",4,593,8.28571428571429,648.428571428571
"76","2020-07-03",3,596,7.85714285714286,656.285714285714
"77","2020-07-04",8,604,8.28571428571429,664.571428571429
"78","2020-07-05",3,607,7.14285714285714,671.714285714286
"79","2020-07-06",5,612,7.28571428571429,679
"80","2020-07-07",2,614,6.14285714285714,685.142857142857
"81","2020-07-08",3,617,5.14285714285714,690.285714285714
"82","2020-07-09",1,618,4.14285714285714,694.428571428571
"83","9999-99-99",3903,4521,561.142857142857,1255.57142857143
