"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-31",1,1,0,0
"2","2020-04-01",1,2,0,0
"3","2020-04-03",1,3,0,0
"4","2020-04-05",3,6,0,0
"5","2020-04-06",1,7,0,0
"6","2020-04-09",1,8,0,0
"7","2020-04-12",2,10,0,0
"8","2020-04-14",3,13,1.85714285714286,7.14285714285714
"9","2020-04-15",3,16,2.14285714285714,9.28571428571429
"10","2020-04-17",7,23,3,12.2857142857143
"11","2020-04-18",6,29,3.71428571428571,16
"12","2020-04-19",5,34,4,20
"13","2020-04-20",3,37,4.28571428571429,24.2857142857143
"14","2020-04-21",3,40,4.57142857142857,28.8571428571429
"15","2020-04-22",7,47,5.28571428571429,34.1428571428571
"16","2020-04-23",5,52,5.57142857142857,39.7142857142857
"17","2020-04-24",4,56,5.71428571428571,45.4285714285714
"18","2020-04-25",4,60,5.28571428571429,50.7142857142857
"19","2020-04-26",5,65,5.14285714285714,55.8571428571429
"20","2020-04-27",4,69,5,60.8571428571429
"21","2020-04-28",7,76,5.57142857142857,66.4285714285714
"22","2020-04-29",7,83,6.14285714285714,72.5714285714286
"23","2020-04-30",5,88,5.85714285714286,78.4285714285714
"24","2020-05-01",4,92,5.71428571428571,84.1428571428571
"25","2020-05-02",8,100,6.28571428571429,90.4285714285714
"26","2020-05-03",7,107,6.71428571428571,97.1428571428571
"27","2020-05-04",6,113,6.85714285714286,104
"28","2020-05-05",3,116,6.71428571428571,110.714285714286
"29","2020-05-06",9,125,7,117.714285714286
"30","2020-05-07",4,129,6.57142857142857,124.285714285714
"31","2020-05-08",13,142,7.71428571428571,132
"32","2020-05-09",8,150,8.28571428571429,140.285714285714
"33","2020-05-10",7,157,8.14285714285714,148.428571428571
"34","2020-05-11",9,166,8.42857142857143,156.857142857143
"35","2020-05-12",4,170,8.14285714285714,165
"36","2020-05-13",7,177,8.71428571428571,173.714285714286
"37","2020-05-14",6,183,8.28571428571429,182
"38","2020-05-15",9,192,9,191
"39","2020-05-16",12,204,8.85714285714286,199.857142857143
"40","2020-05-17",6,210,8.57142857142857,208.428571428571
"41","2020-05-18",8,218,8.71428571428571,217.142857142857
"42","2020-05-19",11,229,9,226.142857142857
"43","2020-05-20",9,238,9.71428571428571,235.857142857143
"44","2020-05-21",5,243,9.42857142857143,245.285714285714
"45","2020-05-22",13,256,10.4285714285714,255.714285714286
"46","2020-05-23",7,263,10.1428571428571,265.857142857143
"47","2020-05-24",11,274,10,275.857142857143
"48","2020-05-25",8,282,10.2857142857143,286.142857142857
"49","2020-05-26",8,290,10.2857142857143,296.428571428571
"50","2020-05-27",4,294,9.28571428571429,305.714285714286
"51","2020-05-28",11,305,9.57142857142857,315.285714285714
"52","2020-05-29",10,315,10.2857142857143,325.571428571429
"53","2020-05-30",10,325,9.85714285714286,335.428571428571
"54","2020-05-31",6,331,9.71428571428571,345.142857142857
"55","2020-06-01",10,341,9.57142857142857,354.714285714286
"56","2020-06-02",8,349,9.57142857142857,364.285714285714
"57","2020-06-03",5,354,9.14285714285714,373.428571428571
"58","2020-06-04",8,362,9.71428571428571,383.142857142857
"59","2020-06-05",5,367,8.85714285714286,392
"60","2020-06-06",4,371,8,400
"61","2020-06-07",5,376,7.28571428571429,407.285714285714
"62","2020-06-08",4,380,7,414.285714285714
"63","2020-06-09",3,383,6,420.285714285714
"64","2020-06-10",6,389,5.71428571428571,426
"65","2020-06-11",6,395,5.85714285714286,431.857142857143
"66","2020-06-12",8,403,5.85714285714286,437.714285714286
"67","2020-06-13",6,409,6,443.714285714286
"68","2020-06-14",7,416,6.42857142857143,450.142857142857
"69","2020-06-15",5,421,6.42857142857143,456.571428571429
"70","2020-06-16",10,431,7.28571428571429,463.857142857143
"71","2020-06-17",2,433,7.14285714285714,471
"72","2020-06-18",7,440,7.28571428571429,478.285714285714
"73","2020-06-19",4,444,7,485.285714285714
"74","2020-06-20",5,449,6.57142857142857,491.857142857143
"75","2020-06-21",9,458,7,498.857142857143
"76","2020-06-22",7,465,7,505.857142857143
"77","2020-06-23",8,473,7.42857142857143,513.285714285714
"78","2020-06-24",4,477,6.57142857142857,519.857142857143
"79","2020-06-25",6,483,7.14285714285714,527
"80","2020-06-26",6,489,7,534
"81","2020-06-27",7,496,7.42857142857143,541.428571428571
"82","2020-06-28",4,500,7.28571428571429,548.714285714286
"83","2020-06-29",6,506,6.85714285714286,555.571428571429
"84","2020-06-30",10,516,7.28571428571429,562.857142857143
"85","2020-07-01",3,519,6.57142857142857,569.428571428571
"86","2020-07-02",10,529,7.42857142857143,576.857142857143
"87","2020-07-03",11,540,8.14285714285714,585
"88","2020-07-04",3,543,7.71428571428571,592.714285714286
"89","2020-07-05",7,550,7.71428571428571,600.428571428571
"90","2020-07-06",12,562,8.85714285714286,609.285714285714
"91","2020-07-07",11,573,9.57142857142857,618.857142857143
"92","2020-07-08",9,582,9.42857142857143,628.285714285714
"93","2020-07-09",7,589,10,638.285714285714
"94","2020-07-10",9,598,9.85714285714286,648.142857142857
"95","2020-07-11",2,600,8.57142857142857,656.714285714286
"96","2020-07-12",1,601,8.28571428571429,665
"97","9999-99-99",6122,6723,881.857142857143,1546.85714285714
